topic,frex,highest_prob
1,"dmo, osseo, ossea, tav, massaossea, densidademineralossea, femur, menopausa, raiosx, saudeossea","calcio, dmo, ossea, mulher, composicaocorpor, osseo, tav, estudo, total, dxa"
2,"catd, gdqs, dsg, crave, qvrs, stress, organ, cpap, enfermagem, antioxid","catd, test, maior, adesao, dado, individuo, food, saud, alimento, avaliar"
3,"ultrassom, secagem, broto, extracao, termossonicacao, vacuo, carotenoid, solvent, antocianina, orac","metodo, extracao, amostra, extrato, temperatura, tempo, ultrassom, composto, atividadeantioxidant, tratamento"
4,"sarcopenia, idoso, idosa, dinapenia, massamuscular, imm, fpm, sarc, envelhecimento, forcamuscular","idoso, sarcopenia, massamuscular, ano, idad, envelhecimento, associacao, mulher, idosa, prevalencia"
5,"xantana, liquida, caseina, hre, biodisponibilidad, amaranto, goma, obediencia, prescrito, vaca","grupo, dieta, maior, proteina, leit, animai, ferro, dia, proteica, control"
6,"atleta, sonolencia, sono, futebol, treinamento, esportiva, praticant, esport, competicao, militar","atleta, sono, treinamento, grupo, test, estudo, tempo, pre, apo, pos"
7,"pnae, gestor, gestao, programanacionalalimentacaoescolar, paa, ean, execucao, politica, alimentacaoescolar, aco","aco, municipio, programa, saud, nutricionista, profissionai, estudo, escola, politica, processo"
8,"sistolica, pad, mmhg, diastolica, pressaoarteri, hipertensa, pas, autonomica, pressorico, hipertenso","pressaoarteri, sistolica, pas, diastolica, nivei, pad, grupo, mmhg, hipertensao, hipertenso"
9,"excessopeso, menina, adolescent, escolar, menino, escola, fatoresassociado, privada, etaria, praticaatividadefisica","excessopeso, adolescent, ano, prevalencia, variavei, idad, associacao, escolar, imc, analis"
10,"oleo, linhaca, azeiteoliva, oleococo, acidosgraxo, virgem, monoinsaturado, abac, omega, poliinsaturado","oleo, acidosgraxo, teor, acido, composicao, omega, gordura, maior, lipidio, oleococo"
11,"aup, ultraprocessado, iid, alimentosinnatura, processado, minimament, alimentosultraprocessado, consumoalimento, grauprocessamento, classificacaonova","consumo, ultraprocessado, consumoalimento, processado, alimento, maior, aup, consumoalimentar, minimament, alimentosinnatura"
12,"macronutrient, qualidadedieta, energia, micronutrient, nutrient, inadequacao, carboidrato, ingestao, habitu, recomendaco","consumo, ingestao, dieta, consumoalimentar, grupo, nutrient, energia, carboidrato, alimentar, proteina"
13,"asg, risconutricion, glim, nrs, uti, internacao, hospitalizado, admissao, utip, criteriosglim","pacient, desnutricao, tempo, risconutricion, mortalidad, internacao, dia, maior, estadonutricion, asg"
14,"sinalizacao, hipotalamo, nachr, hipotalamico, hfd, hipotalamica, gpr, akt, lps, homeostas","insulina, via, animai, aumento, proteina, camundongo, receptor, efeito, expressao, sinalizacao"
15,"cozinhar, educativa, autoeficacia, oficina, gapb, culinaria, percepco, educativo, praticasalimentar, guia","sobr, conhecimento, saud, alimentacao, mudanca, alimentar, participant, intervencao, estudo, analis"
16,"sod, gpx, peroxidacao, oxidativo, catalas, estresseoxidativo, shr, glutationa, superoxidodismutas, malondialdeido","grupo, estresseoxidativo, antioxidant, atividad, efeito, dia, enzima, animai, nivei, aumento"
17,"diabetico, epilepsia, crise, dietacetogenica, camu, diabet, metformina, diabetica, controleglicemico, mellitus","diabet, tratamento, diabetico, efeito, animai, estudo, grupo, doenca, crise, mellitus"
18,"prole, rata, filhot, lactacao, desmam, alimentada, prenh, lphc, restricaoproteica, ilhota","grupo, dieta, dia, prole, durant, lactacao, maior, rata, vida, gestacao"
19,"compulsaoalimentar, silhueta, insatisfacaoimagemcorpor, imagemcorpor, transtornosalimentar, eat, insatisfacaocorpor, comportamentosalimentar, bsq, mind","alimentar, imagemcorpor, comportamentoalimentar, comportamento, peso, maior, comer, eat, apresentaram, adolescent"
20,"dcnt, frutashortalica, inquerito, tendencia, alcool, tempor, flv, doencascronicastransmissivei, regular, adulto","consumo, ano, brasil, populacao, prevalencia, individuo, adulto, mulher, maior, aumento"
21,"pubm, scopus, embas, lilac, medlin, revisaosistematica, scielo, metanalis, revisao, artigo","estudo, artigo, dado, revisaosistematica, revisao, base, incluido, resultado, busca, realizada"
22,"mir, placentario, mirna, placenta, dha, oleopeix, placentaria, agpi, ferida, epa","expressao, mir, acidosgraxo, dha, concentraco, aumento, grupo, agpi, oleopeix, acido"
23,"mate, agrotoxico, itt, erva, cha, pon, cafe, xilanas, afb, tripsina","atividad, cafe, agrotoxico, residuo, extrato, mate, estudo, erva, cha, enzima"
24,"mcf, car, oeov, ecv, tumorai, mel, citotoxicidad, cim, oero, inibitoria","celula, efeito, celular, tratamento, cepa, concentraco, cim, composto, atividad, estudo"
25,"hiperalgesia, treinamentofisico, parkin, muscular, musculo, resistido, mitocondri, musculoesqueletico, gastrocnemio, exerciciofisico","muscular, exerciciofisico, exercicio, grupo, musculo, treinamentofisico, treinamento, animai, treinado, semana"
26,"publicidad, nbcal, market, postagen, propaganda, pagina, alergia, rotulagem, instagram, substituto","produto, alimento, pais, gluten, estudo, estrategia, consumidor, sobr, brasil, publicidad"
27,"ergogenico, cafeina, cho, pla, esforco, potencia, desempenho, exaustao, sprint, ciclismo","test, desempenho, exercicio, cafeina, efeito, estudo, apo, suplementacao, intensidad, placebo"
28,"especialista, ivc, validacaoconteudo, instrumento, cronbach, confiabilidad, iten, reprodutibilidad, validad, validacao","instrumento, iten, avaliacao, etapa, questionario, escala, especialista, validad, validacao, estudo"
29,"drc, doencarenalcronica, hemodialis, dialis, renal, transplant, funcaoren, tfge, dialitica, tfg","pacient, tratamento, drc, individuo, doenca, diabet, hemodialis, ano, custo, doencarenalcronica"
30,"aceitabilidad, aceitacao, formulaco, intencao, sabor, barra, cooki, analisesensori, sensoriai, sensori","produto, aceitacao, formulaco, bebida, sabor, proteina, aceitabilidad, test, sensori, teor"
31,"rce, cintura, sindromemetabolica, riscocardiovascular, hdlc, riscocardiometabolico, circunferenciacintura, perimetrocintura, triglicerideo, ldlc","maior, imc, indic, risco, idad, associacao, relacao, triglicerideo, estudo, circunferenciacintura"
32,"alelo, snp, polimorfismo, vdr, snps, vitaminad, fto, hipovitaminos, genotipo, ohd","vitaminad, gene, polimorfismo, nivei, genotipo, deficiencia, individuo, alelo, relacao, estudo"
33,"sorgo, pae, farinha, brs, trigo, milheto, biscoito, banana, pao, amidoresistent","farinha, sorgo, pae, feijao, teor, maior, biscoito, gluten, produto, brs"
34,"intervencao, ensaioclinicorandomizado, controlado, grupointervencao, placebo, randomizado, ensaioclinico, cego, apetit, grupocontrol","grupo, intervencao, apo, reducao, efeito, dia, estudo, semana, suplementacao, aumento"
35,"padroesalimentar, lanch, cafemanha, verdura, legum, padro, padraoalimentar, omissao, refrigerant, jantar","padrao, padroesalimentar, consumoalimentar, consumo, alimento, padro, maior, refeico, adolescent, associacao"
36,"salmonellaspp, coagulas, staphylococcus, queijo, enterai, coliform, coalho, coliformestotai, termotolerant, coli","amostra, queijo, isolado, leit, bacteria, apresentaram, presenca, microbiologica, analis, estudo"
37,"insegurancaalimentar, ambientealimentar, entorno, pbf, domicilio, capita, escalabrasileirainsegurancaalimentar, acesso, situacao, programabolsafamilia","familia, insegurancaalimentar, domicilio, renda, estabelecimento, maior, situacao, acesso, ambientealimentar, alimento"
38,"piperina, ase, curcumina, curcuma, leucemia, hematologica, mdr, linfoma, sks, isoforma","celula, proteina, estudo, tratamento, producao, celular, curcumina, cancer, expressao, piperina"
39,"xiqu, polpa, casca, jabuticaba, subproduto, umbu, flavonoid, bioacessibilidad, fruto, folha","polpa, fruto, teor, compostosfenolico, casca, extrato, maior, totai, sement, atividadeantioxidant"
40,"trimestr, idadegestacion, gpg, gestacion, prenat, posparto, gestant, dmg, recemnascido, puerpera","gestant, gestacao, mulher, gestacion, prenat, durant, posparto, maior, peso, pre"
41,"pandemia, pandemiacovid, trabalhador, universitario, depressao, saudement, estudantesuniversitario, sintomasdepressao, sintomasdepressivo, sintomasansiedad","trabalho, depressao, maior, estudo, saud, trabalhador, durant, estudant, pandemiacovid, universidad"
42,"fluoxetina, cortic, dac, serotonina, cerebr, alastrant, sert, hipocampo, labirinto, cruz","grupo, animai, dia, efeito, control, durant, test, dac, sobr, rato"
43,"crianca, aleitamentomaterno, alimentacaocomplementar, infantil, ame, filho, mae, aleitamentomaternoexclusivo, menoresdoisano, infancia","crianca, idad, mese, mae, ano, vida, infantil, estadonutricion, menor, estudo"
44,"zinco, selenio, cancermama, cobr, vitaminab, folato, eritrocitario, magnesio, plasma, plasmatico","zinco, mulher, grupo, concentraco, maior, cancermama, pacient, selenio, estudo, menor"
45,"equaco, bia, tmb, ger, mlg, equacao, biva, gastoenergetico, altman, bland","equaco, metodo, concordancia, composicaocorpor, test, valor, bia, diferenca, estudo, correlacao"
