topic,frex,highest_prob
1,"embase, systematic_reviews, items, preferred, pubmed, scopus, revisao_sistematica, science, lilacs, bases","estudos, revisao_sistematica, artigos, dados, of, revisao, incluidos, bases, resultados, science"
2,"epilepticas, epilepticus, a, o, crises, epilepsia, tica, dieta_cetogenica, refrataria, farmacorresistente","a, o, crises, epilepsia, dieta_cetogenica, dc, dieta, pacientes, controle, semanas"
3,"bioacessibilidade, abts, extracao, dpph, residuo, trolox, solventes, cwpc, flavonoides, folhas","g, atividade_antioxidante, compostos_fenolicos, extracao, extrato, totais, mg, extratos, flavonoides, compostos"
4,"or, ic, chances, chance, ic95, regressao_logistica, odds, ratio, dmg, binaria","ic, or, ic95, associacao, chance, chances, regressao_logistica, variaveis, anos, maior"
5,"dl, pcr, glutamina, proteina_c_reativa, mmol, us, apolipoproteina, citrulina, placebo, l","mg, l, pcr, dl, suplementacao, niveis, placebo, reducao, vs, grupo"
6,"shr, muc, cmg, wky, hac, ciclofosfamida, plaquetaria, viridiflorol, agregacao, emax","kg, mg, animais, tratamento, g, ml, grupos, grupo, shr, efeito"
7,"prole, filhotes, lactacao, descendentes, hh, desmame, gestacao, ratas, hi, alimentadas","prole, lactacao, dieta, durante, gestacao, dias, grupo, filhotes, ratas, maior"
8,"dinapenia, qualidade_muscular, idosos_institucionalizados, idosos, sarcopenia, fpm, fragilidade, idosas, capacidade_funcional, sarc","idosos, sarcopenia, anos, massa_muscular, envelhecimento, idade, associacao, forca_muscular, fragilidade, mulheres"
9,"criancas, adolescentes, meninas, escolares, meninos, infantil, crianca, escola, z, escolas_publicas","criancas, adolescentes, idade, excesso_peso, anos, estado_nutricional, escolares, estatura, imc, i"
10,"hl, sod, np, gpx, lp, cat, glutationa, glutationa_peroxidase, superoxido_dismutase, oxidativo","estresse_oxidativo, antioxidantes, atividade, aumento, grupo, sod, enzimas, niveis, dias, hl"
11,"am, ld, fh, pmc, sede, flores, complementado, atum, academias, frutas_hortalicas","consumo, am, ld, fh, intervencao, sobre, frutas_hortalicas, cafe, alimentos, estudo"
12,"jogadores, futebol, jogos, militares, jogo, altitude, temporada, pentatlo, atleta, atletas","atletas, treinamento, estudo, jogadores, apos, durante, futebol, tempo, jogos, intensidade"
13,"il_6, il_10, tnf, il, citocinas, tecido_adiposo, ifn, adipocitos, necrose_tumoral, mesenterico","tnf, il_6, il, tecido_adiposo, il_10, concentracoes, animais, citocinas, grupos, dieta"
14,"sm, cintura, risco_cardiovascular, rce, perimetro_cintura, sindrome_metabolica, risco_cardiometabolico, pressao_arterial, rcest, rcq","sm, pressao_arterial, imc, associacao, anos, cc, idade, variaveis, cintura, relacao"
15,"recidiva, cancer_mama, neoplasia, quimioterapico, wcrf, quimioterapia, neoplasias, tumoral, quimioterapicos, aicr","cancer, cancer_mama, tratamento, celulas, mulheres, quimioterapia, tumoral, celular, m, tumor"
