bigram,n
p 0,8673
0 05,2442
consumo alimentar,1865
excesso peso,1646
estado nutricional,1632
0 001,1375
alem disso,1222
massa corporal,1196
composicao corporal,1032
presente estudo,1026
estudo transversal,1007
atividade fisica,943
indice massa,939
ic 95,880
objetivo avaliar,869
acidos graxos,852
trata estudo,830
ic95 1,789
consumo alimentos,774
r 0,774
estresse oxidativo,751
vitamina d,736
peso corporal,725
deste estudo,724
alimentar nutricional,719
pode ser,705
grupo controle,702
0 01,689
gordura corporal,671
objetivo deste,667
fatores risco,666
qualidade vida,652
pressao arterial,641
compostos fenolicos,622
inseguranca alimentar,620
estilo vida,611
fatores associados,594
doencas cronicas,583
ganho peso,581
sexo feminino,534
tecido adiposo,525
alimentacao escolar,524
estudo objetivo,521
in natura,519
ambos sexos,514
atividade antioxidante,513
seguranca alimentar,513
perfil lipidico,510
sobrepeso obesidade,501
alimentacao saudavel,496
nivel significancia,488
alimentos ultraprocessados,479
colesterol total,472
regressao logistica,472
dieta hiperlipidica,471
estudo avaliar,466
corporal imc,464
sexo masculino,464
ic95 0,456
padroes alimentares,453
revisao sistematica,438
covid 19,436
ingestao alimentar,435
apresentaram maior,424
capacidade antioxidante,420
circunferencia cintura,417
compostos bioativos,414
habitos alimentares,409
alimentacao nutricao,405
saude publica,403
qui quadrado,398
dois grupos,396
praticas alimentares,389
podem ser,384
regressao linear,376
95 1,375
metodos estudo,371
rp 1,370
perda peso,362
microbiota intestinal,361
qualidade dieta,360
24 horas,355
politicas publicas,355
in vitro,354
exercicio fisico,353
criancas adolescentes,352
aleitamento materno,351
coleta dados,350
avaliar efeito,348
doencas cardiovasculares,345
faixa etaria,341
il 6,341
massa muscular,338
or 1,327
anos idade,324
cronicas transmissiveis,324
risco cardiovascular,324
percentual gordura,322
apresentou maior,321
universidade federal,321
diabetes mellitus,319
1 2,317
or 0,314
concentracoes sericas,312
hdl c,310
resistencia insulina,310
sindrome metabolica,310
comportamento alimentar,309
diferenca significativa,307
mg kg,307
durante gestacao,305
avaliar associacao,299
hipertensao arterial,298
95 0,297
25 oh,292
objetivo presente,292
rio janeiro,291
alimentos in,287
niveis sericos,287
ambos grupos,283
mg dl,281
padrao alimentar,281
teste t,281
outro lado,279
populacao brasileira,279
cancer mama,276
deste trabalho,275
imagem corporal,274
risco nutricional,272
pre natal,270
dessa forma,268
minimamente processados,268
t student,268
0 03,265
ensaio clinico,265
maior consumo,265
vitamina c,262
durante periodo,257
oh d,257
0 02,255
regressao poisson,252
ambiente alimentar,249
ratos wistar,249
transversal realizado,249
medidas antropometricas,246
questionario frequencia,244
profissionais saude,243
glicemia jejum,242
fenolicos totais,241
peso nascer,241
baixo peso,240
il 10,237
natura minimamente,237
analise estatistica,236
pratica atividade,234
teste qui,234
homa ir,232
pos parto,229
modelos regressao,228
presente trabalho,228
escolas publicas,226
mann whitney,226
frequencia alimentar,225
diferencas significativas,224
100 g,223
alimentacao adequada,223
bases dados,223
desta forma,223
media idade,223
tipo 2,223
0 04,221
desse estudo,220
neste estudo,219
objetivo analisar,218
objetivo investigar,217
or 2,215
per capita,215
renda familiar,215
1 0,212
risco cardiometabolico,212
objetivo desse,211
massa gorda,210
pandemia covid,210
apresentaram maiores,208
avaliar efeitos,208
maior risco,208
problema saude,208
30 dias,207
expressao genica,207
frutas hortalicas,207
0 0001,206
alimentares saudaveis,206
coletados dados,206
objetivo estudo,206
frequencia consumo,205
participaram estudo,205
proteina c,205
dias vida,204
alimentos saudaveis,203
cirurgia bariatrica,203
90 dias,201
promocao saude,201
correlacao positiva,200
devem ser,200
idade media,200
resultados obtidos,200
0 5,199
c reativa,199
dieta controle,199
marcadores inflamatorios,199
peso estatura,199
gestacao lactacao,198
maior prevalencia,198
12 meses,196
nacional alimentacao,196
sexo idade,196
analises estatisticas,195
ic 1,194
significancia 5,194
perimetro cintura,193
pre gestacional,193
qualidade nutricional,192
reducao significativa,192
minas gerais,191
n 10,191
18 anos,190
kg m2,190
escore z,189
ldl c,189
confianca 95,188
massa magra,188
metodos trata,188
realizadas analises,188
longo prazo,187
2 3,186
educacao alimentar,185
forca muscular,185
n 3,185
apresentaram menor,184
consumo frutas,184
fisico quimicas,184
kg m,184
omega 3,184
0 002,183
0 003,183
5 anos,183
analise dados,183
relacao grupo,183
1 1,182
6 meses,182
alteracoes metabolicas,182
comite etica,182
parametros bioquimicos,182
sendo assim,182
tres grupos,182
antes apos,180
dieta padrao,180
fator risco,180
meio questionario,180
variaveis independentes,180
obesidade abdominal,179
significancia estatistica,178
trabalho avaliar,178
trabalho objetivo,178
comparado grupo,177
1 3,176
escolhas alimentares,176
clinico randomizado,174
p valor,174
analise regressao,173
pontos corte,173
programa nacional,173
2 5,172
vem sendo,172
gasto energetico,171
mundial saude,171
05 resultados,170
assim objetivo,170
deficiencia vitamina,170
estudo objetivou,170
et al,170
log ufc,170
organizacao mundial,170
realizado estudo,170
valor 0,170
peso altura,169
seis meses,169
deve ser,168
informacoes sobre,168
composicao centesimal,167
resultados sugerem,167
10 anos,166
cafe manha,166
grupos experimentais,166
resultados mostraram,166
todo mundo,166
verificar associacao,166
dados sociodemograficos,165
maiores valores,165
parametros antropometricos,165
doenca renal,163
criancas menores,162
n 8,162
receberam dieta,162
avaliacao antropometrica,161
diante disso,161
grupos controle,161
alimentados dieta,160
amostra composta,159
palavras chave,159
maior parte,158
agricultura familiar,157
nesse sentido,157
promocao alimentacao,157
sintomas depressivos,157
risco desenvolvimento,156
alimentos processados,155
n 6,155
1 4,154
analise conteudo,154
avaliacao nutricional,154
ensino fundamental,154
mellitus tipo,154
nivel atividade,154
acido urico,153
apos intervencao,153
variaveis sociodemograficas,153
2 0,152
1 5,151
dados coletados,151
idade gestacional,151
qualidade sono,151
vida adulta,150
0 005,149
g ml,149
alimentos industrializados,148
alta prevalencia,148
aumento significativo,148
base populacional,148
boas praticas,148
linha base,148
objetivou avaliar,148
relacao cintura,148
0 1,147
angulo fase,147
estudo investigar,147
grupo intervencao,147
nesse contexto,147
oleo coco,146
prevalencia excesso,146
desenvolvimento doencas,145
durante pandemia,145
3 4,144
60 anos,144
habitos vida,144
modelo regressao,144
aumento consumo,143
desvio padrao,143
0 000,142
etica pesquisa,142
forca preensao,142
renal cronica,142
revisao literatura,141
atencao primaria,140
capacidade funcional,140
componentes principais,140
menor consumo,140
arterial sistolica,139
associacao consumo,139
in vivo,139
intervalo confianca,139
