AN_BASE,NM_ENTIDADE_ENSINO,NM_PRODUCAO,DS_PALAVRA_CHAVE,NM_REGIAO,SG_UF_IES,NR_PAGINAS,DS_RESUMO,NM_GRAU_ACADEMICO,DOC_ID
2011,UNIVERSIDADE FEDERAL DA PARAÍBA,Anemia em Gestantes: Avaliação das usuárias das Unidades Básicas de Saúde do Município de Cabedelo - Paraíba,ciencias nutricao anemia nutricional anemia gestacao,NORDESTE,PB,83,anemia deficiencias nutricionais comuns mundo sendo prevalente criancas_adolescentes gestantes idosos presente trabalho determinou prevalencia anemia gestantes associacao aspectos socioeconomicos estado_nutricional realizado estudo_observacional transversal 130 gestantes acompanhadas pre_natal unidades saude_familia municipio cabedelo pb atraves entrevista estruturada questoes sobre gestacao dados socieconomicos avaliacao_antropometrica dados bioquimicos obtidos atraves prontuarios gestantes nivel hemoglobina inferior 11g dl consideradas anemicas analise estatistica dados utilizou spss statistical package the social sciences versao 15 0 nivel significancia adotado decisoes testes estatisticos 5 sendo utilizado t student variancias iguais t student variancias desiguais t student pareado mc nemar qui_quadrado pearson teste_exato_fisher observou prevalencia anemia 17 7 gestantes media hemoglobina 12 28+ 1 56 g dl hematocrito 37 96+ 5 maior prevalencia aconteceu grupo gestantes jovens 34 anos estudaram ensino fundamental 22 7 possuiam renda mensal salario_minimo 19 2 pertencentes camadas economicas baixas 18 8 percentual gestantes anemia elevado receberam suplementacao ferro receberam 22 2 x 7 5 sendo unica variavel associacao significativa p < 0 05 numero gestamtes durante gestacao encontravam estado_nutricional baixo_peso adequado prevalente relacionado ocorrencia patologia 22 1 concluiu tendo encontrado leve prevalencia anemia problema ainda faz presente durante gestacao existindo necessidade ampliar reforcos direcionados grupo populacional,MESTRADO,1
2011,UNIVERSIDADE FEDERAL DA PARAÍBA,"Elaboração e Caracterização de Queijo de Leite de Cabra ""Tipo Coalho"" com Inclusão de Leite de Vaca",ciencias nutricao derivados lacteos caprinocultura,NORDESTE,PB,109,emprego novas tecnologias beneficiamento produtos lacteos caprinocultura leiteira pode contribuir incremento setor agropecuario regioes produtoras especial microrregioes nordeste brasileiro nesta pesquisa objetivou estudar efeito inclusao leite bovino fabricacao queijo leite cabra tipo coalho fim propor fabricacao novo produto mercado estudo desenvolvido dois experimentos distintos primeiro experimento produtos lacteos preparados variando cinco proporcoes mistura leite q1 leite cabra q2 leite cabra leite vaca 3 1 q3 leite cabra leite vaca 1 1 q4 leite cabra leite vaca 1 3 q5 leite vaca quais aplicou delineamento inteiramente casualizado cinco proporcoes tres repeticoes ensaios unico periodo estocagem 7 dias maturacao realizadas analises microbiologicas materia prima queijos colorimetricas derretimento rendimento composicao materiaprima queijos sensorial segundo experimento queijos elaborados tres formulacoes distintas variando tipo leite qlv leite vaca qlvc leite vaca leite cabra 1 1 qlc leite cabra quais estimados meio modelo estatistico inteiramente casualizado tres proporcoes tres repeticoes ensaios longo cinco tempos armazenamento 1 7 14 21 28 dias tipo leite utilizado influenciou p<0 05 composicao fisico quimica teores elevados gordura sal perfil_lipidico acidos_graxos c6 c8 c10 c12 c18 1n9c c18 2n6c avaliacao instrumental textura exclusivamente dureza colorimetria revelou predominio parametros b testes sensoriais atributos odor leite cabra granulosidade queijos maior proporcao leite caprino destacando teste aceitacao todos queijos fabricados expressaram escores medios acima padrao estabelecido estudo evidencia qualidade aceitacao produto elaborado desenvolvimento acentuacao substancias beneficas podendo assim agregar valor contribuir desta maneira crescimento setor meio aumento producao derivados lacteos caprino,MESTRADO,2
2011,UNIVERSIDADE FEDERAL DA PARAÍBA,"Relação entre níveis glicêmicos, proteína C-reativa, índice de massa corporal e retinos sérico e dietético em idosos: um estudo de base populacinal",ciencias nutricao vitamina glicemia massa corporal,NORDESTE,PB,103,avaliacao situacao saude idoso torna cada vez relevante identificacao alteracoes acompanham envelhecimento refletem estado_nutricional hiperglicemia deficiencia vitamina inflamacao aspectos importantes serem abordados diz respeito prevencao controle doencas_cronicas estudos ratos verificou vitamina exerce funcao manutencao glicemia outro lado humanos idade adulta observado consenso quanto relacao neste contexto presente pesquisa objetivo principal avaliar relacao niveis glicemicos proteina_c_reativa pcr indice_massa_corporal imc retinol serico dietetico populacao_idosa procurando contribuir melhor entendimento sobre relacoes adotou delineamento epidemiologico transversal base_populacional utilizando amostragem estratificada representativa populacao idosos municipio joao pessoa paraiba brasil participaram estudo 163 idosos idade 60 90 anos diferentes condicoes_socioeconomicas portadores doencas cronico degenerativas exceto diabetes uso medicamentos aplicaram questionarios obtencao informacoes socioeconomicas demograficas epidemiologicas consumo_alimentar realizou avaliacao_nutricional analises_bioquimicas observou maioria idosos avaliados apresentou valores glicemicos jejum retinol serico dietetico pcr adequados pode ter influenciado falta relacao multipla variaveis p > 0 05 correlacoes significativas encontradas pcr imc r = 0 22 p = 0 0082 pcr consumo_energetico p = 0 0091 base resultados encontrados primeira vez idosos referentes falta relacao variaveis mencionadas deve manter ingestao_diaria atualmente estabelecida vitamina resultados consistentes subsidiar necessidade modificacoes quanto recomendacao dessa vitamina tratamento prevencao alteracoes glicemia_jejum obesidade idosos,MESTRADO,3
2011,UNIVERSIDADE FEDERAL DA PARAÍBA,Consumo de Alimentos entre Adolescentes de Comunidades Pesqueiras do Rio Grande do Norte (RN),ciencias nutricao praticas alimentares consumo alime,NORDESTE,PB,132,consumo_alimentar metodo indireto avaliacao estado_nutricional pode contribuir indicativo precoce intervencoes_nutricionais saude_publica bem fornecer subsidios politicas nacionais alimentacao nutricao praticas_alimentares consumo_alimentar inadequados atingir criancas_adolescentes podem relacionar maior probabilidade morbi mortalidade doencas_cronicas_transmissiveis adultos objetivo deste estudo identificar praticas_alimentares avaliar consumo dietetico adolescentes comunidades pesqueiras rio grande norte tentativa verificar in seguranca nutricional bem conhecer ingestao_energetica analisar possiveis associacoes inadequacao macronutrientes sexo faixa etaria estimar prevalencia ingestao inadequada micronutrientes identificar praticas_alimentares torno consumo pescado trata estudo_transversal 201 adolescentes 10 19 anos comunidades pesqueiras municipio macau rn 2008 praticas_alimentares referentes consumo pescado identificadas questionario estruturado consumo_alimentar obtido recordatorio_24_horas auxilio registro fotografico alimentos utensilios informacoes dieteticas ajustadas variabilidade intra interpessoal conforme iowa state university estimar gasto_energetico total adolescentes utilizou equacao estimated energy requirement eer analise carboidratos proteinas vitaminas minerais fosforo magnesio zinco ferro realizou estimated average requirement ear fibras calcio sodio adequate intake ai lipidios totais acceptable macronutrient distribuition ranges amdr teor qualidade gorduras recomendacoes academia americana pediatria calculadas estatisticas descritivas diferencas medianas verificadas teste kruskal_wallis detectar associacoes variaveis utilizou razao prevalencia ic95 teste mantel haenszel p valor < 0 05 regressao_logistica_multipla nutrientes selecionados variaveis sexo faixa etaria faixa etaria predominante 10 13 anos 70 1 sexo_masculino 59 2 modo preparo pescado utilizado fritura peixes 76 8 mariscos 46 1 consumo per capita medio 94g maior prevalencia inadequacao consumo_excessivo lipidios meninas 47 6 meninos 26 0 rp=1 95 ic95 1 25 3 04 acidos_graxos_saturados meninas 24 4 meninos 10 1 rp=2 42 ic95 1 25 4 67 adolescentes 14 18 anos 3 05 ic95 1 35 106 93 chances consumir acidos_graxos_saturados acima recomendacao 10 13 anos maiores prevalencias inadequacao micronutrientes consumo inferior fosforo sexo_feminino 80 magnesio sexo_masculino 98 prevalencias inadequacao lipidios totais acidos_graxos_saturados elevados meninas adolescentes 14 18 anos poderao representar indicador precoce surgimento doencas_cronicas_transmissiveis nesta populacao exposicao inseguranca nutricional presente parcela significativa macronutrientes micronutrientes podera fornecer elementos controle ingestao_dietetica adequada prevencao disturbios nutricionais doencas_cronicas_transmissiveis adolescentes reserva desenvolvimento sustentavel estadual ponta tubarao macau rn brasil,MESTRADO,4
2011,UNIVERSIDADE FEDERAL DA PARAÍBA,Segurança alimentar e nutricional de crianças do semi-árido brasileiro e sua relação socioeconômico e de saúde.,ciencia nutricao seguranca alimentar seguranca nutricio,NORDESTE,PB,157,prevalencias inseguranca_alimentar ia acentuadas norte nordeste restante brasil demonstrando estagnacao desigualdades regionais historicas regiao semi arido destaca evidenciar desfavoraveis condicoes vida assim objetivo dessa pesquisa avaliar situacao seguranca_alimentar_nutricional criancas menores cinco anos idade residentes municipio crato regiao cariri cearense analisados dados_socioeconomicos demograficos assistencia saude situacao nutricional meio questionario pre codificado situacao seguranca_alimentar_nutricional partir escala_brasileira_inseguranca_alimentar ebia pesquisa desenho tipo transversal amostragem probabilistica conglomerado unidades amostrais primeiro plano unidades_basicas_saude obtidas sorteio aleatorio simples segundo plano envolveu criancas vacinadas dia d segunda fase campanha nacional vacinacao 14 agosto 2010 amostragem sistematica realizada associacao condicoes socio economicas condicoes saude nutricao situacao inseguranca_alimentar meio teste_qui_quadrado c2 fixando p < 0 05 razoes chance rc intervalo confianca 95 respectivos valores p calculados regressao_logistica_multipla vista analise fator risco ia resultados referentes 370 responsaveis criancas demonstrando 58 1 familias encontravam ia sendo 33 2 ia leve area rural chances ia maiores area urbana rc=2 2 porem gravidade ia maior area urbana 7 9 p<0 05 condicoes baixa_escolaridade cor branca responsavel baixa_renda per capita baixa classificacao social utilizacao beneficio social elevado numero moradores criancas menores cinco anos domicilio significativamente associadas ia regressao_logistica apontou indicadores maior impacto ia nivel socioeconomico renda_familiar per capita nivel assistencia saude visita agente comunitario saude cobertura estrategia_saude_familia pre_natal numero consultas insuficientes falta educacao alimentar nivel morbidades destaca ocorrencia febre tosse ultimos 15 dias associacao desnutricao sobrepeso ia observada alta prevalencia sobrepeso detrimento desnutricao caracterizando rapida transicao nutricional presente nesta regiao assim ebia mostrou indicador vulnerabilidade_social dissociado disturbios nutricionais apesar disso percebe necessidade programas direcionados educacao alimentar dessas familias adequacao acoes sociais saude populacoes ia,MESTRADO,5
2011,UNIVERSIDADE FEDERAL DA PARAÍBA,Caracterização Fenotípica de Cepas de Staphylococcus aureus Isoladas de Queijos Ricota,ciencias nutricao staphylococcus aureus fenotipagem,NORDESTE,PB,75,estudo objetivo isolar cepas staphylococcus_aureus queijos ricota caracteriza las relacao marcadores fenotipicos atividade lipolitica bacteriocinotipagem resistotipagem isolamento adquiridas 11 amostras queijo ricota diferentes marcas comercializadas supermercados cidade joao pessoa pb 41 cepas isoladas 82 9 revelaram lipase positiva lip+ 17 1 lipase negativa lip relacao bacteriocinotipagem 9 76 mostraram produtoras bacteriocinas frente cepa staphylococcus_aureus isolada superficies processamento alimentos 55 mostraram sensiveis cepa staphylococcus_aureus isolada queijo ricota resistotipagem 87 8 cepas apresentaram resistentes estreptomicina 26 59 penicilina 19 51 eritromicina nenhuma cepas resistente tetraciclina observou variabilidade concentracoes inibitorias minimas tanto cepas resistentes sensiveis sendo tal variabilidade predominante penicilina variacao 0 015625 16 g ml bem variabilidade cepas queijo apenas cepas resistentes eritromicina submetidas d teste fim determinar tipo resistencia quais todas cepas mostraram resistencia indutiva partir resultados obtidos pode concluir embora fenotipos revelem resposta adaptativa relacionada peculiaridades pressoes ambientais locais evidente importancia destes marcadores geneticos fim distinguir novas linhagens s aureus daquelas endemicas bem investigar possiveis impactos epidemiologicos seguranca_alimentar,MESTRADO,6
2011,UNIVERSIDADE FEDERAL DA PARAÍBA,"Capacidade de Adesão, Formação de Biofilme e Resistência a Sanitizantes de Cepas de Staphylococcus aureus Isoladas de Serviços de Alimentaçao",ciencias nutricao staphylococcus aureus biofilme formac,NORDESTE,PB,108,presente estudo objetivo avaliar capacidade adesao cinetica separacao formacao biofilmes cepas s aureus isoladas diferentes servicos_alimentacao nutricao cidade joao pessoa  pb cultivadas caldo substrato base carne caldo substrato base vegetais incubadas temperaturas 28ºc 7ºc tempo prolongado 2472 h alem avaliar efeito aplicacao sanitizantes hipoclorito sodio 250 mg l acido peracetico 30 mg l inativar celulas bacterianas matriz biofilme previamente formado nestes experimentos utilizadas superficies testes minisuperficies 3 x 3 cm polipropileno aco inoxidavel aisi 304 visto tais materiais amplamente utilizados composicao superficies equipamentos utensilios utilizados variados tipos servicos_alimentacao resultados mostraram alta capacidade adesao cepas avaliadas caldo substrato base carne caldo substrato base vegetal contagens superiores 5 log ufc cm2 independente tipo superficie temperatura incubacao descolamento celulas superficies menos 103 ufc cm2 durante 6 primeiros contatos agar dois tipos substrato utilizados caracterizando alta persistencia durante tempo prolongado incubacao 24 72h encontrada clara influencia relacao superficie temperatura utilizada avaliacao capacidade adesao geral dois tipos substratos utilizados demonstrado padrao formacao biofilme semelhante final 15 dias incubacao cepas submetidas diferentes combinacoes tipos superficies temperaturas crescimento numero celulas 105  107 ufc cm2 necessarios formacao biofilme observado todos sistemas experimentais apos 3 dias incubacao seguidos reducao linear apos 6º dia excecao cepa s28 cultivada caldo substrato base vegetais apresentou valores torno 104 ufc cm2 primeiras 24h incubacao intervalo 2 6  3 7 log ufc cm2 cepas incubadas caldo substrato base carne 2 0  3 3 log ufc cm2 cepas incubadas caldo substrato base vegetal observado reducao celulas matriz biofilme causado acido peracetico enquanto hipoclorito sodio reducao ordem 2 1  2 7 log ufc cm2 1 5  2 1 ufc cm2 cepas cultivadas caldos substrato base carne vegetais respectivamente partir resultados obtidos pode concluir cepas testadas evidenciam elevada capacidade adesao formacao biofilme superficies contato alimentos expostas diferentes meios cultura caracteristicas ambientais alem disso sanitizantes utilizados apesar reduzirem numero celulas aderidas superficies demonstraram ineficacia remocao celulas matriz biofilme tendo vista numero celulas viaveis encontradas apos processo aplicacao sanitizantes,MESTRADO,7
2011,UNIVERSIDADE FEDERAL DA PARAÍBA,Efeito do Consumo de Dietas Elaboradas com Mortadelas Defumadas e Não Defumadas Sobre o Perfil Lipídico e Aspectos Histopatológicos do Fígado e do Cólon Intestinal de Ratos,ciencias nutricao analise histopatologica mortadelas,NORDESTE,PB,105,maior consumo produtos carneos processados relacao carne vermelha pode elevar risco incidencia cancer colon reto prostata apesar varias evidencias desta relacao necessarias pesquisas indicar quais alimentos envolvidos risco contribuir esclarecimento mecanismos relacao compo nentes dieta desenvolvimento dessas doencas visando colaborar informa coes sobre importante tema pesquisa realizada objetivo partir modelo experimental animais avaliar efeito consumo dietas elaboradas mor tadelas defumadas defumadas sobre parametros_bioquimicos aspectos histopato logicos celulas hepaticas colon intestinal ratos_wistar_machos utilizados 30 ratos 90 dias vida distribuidos tres grupos grupo_controle recebeu dieta pa drao caseina grupo tradicional consumiu dieta elaborada mortadela bologna tra dicional fonte proteinas completada caseina terceiro grupo consumi ram dieta elaborada mortadela bologna defumada fonte proteina completada caseina grupo defumado dietas experimentais ofertadas diari amente periodo 90 dias realizadas analise composicao centesimal identificacao acidos_graxos mortadelas durante experimento semanalmente reali zou avaliacao consumo semanal ganho_peso animais apos periodo 90 dias animais pesados anestesiados coleta sangue analise fracoes lipidicas plasmaticas realizada excisao limpeza pesagem figado baco gordura_visceral realizada analise histopatologica figado colon intestinal mortadela tradicio nal mortadela defumada continham respectivamente 15 27 + 1 35 15 85 + 1 89 proteinas 26 19 + 0 43 25 38 + 0 272 gordura 2 46 + 0 049 3 075 + 0 45 carboidratos 2 65 + 0 507 3 085 + 0 45 residuo mineral fixo proporcao acidos_graxos monoinsaturado polinsaturado saturado m p s detectado 2 7 1 2 2 morta tradicional 2 6 1 2 1 mortadela defumada apresentando proporcao recomenda consumo dietas apresentou diferencas significativas grupos sema peso_corporal animais grupo defumado tradicional aumentou forma estavel tempo grupo_controle apresentou oscilacoes niveis fracoes lipidicas plasma ticas maiores animais grupo defumado conclui qualidade propor cao acidos_graxos monoinsaturado polinsaturado saturado m p s presentes dois tipos mortadelas contribuiram significativamente resultados apesar composicao acidos_graxos serem semelhantes animais consumiram dieta conten mortadela defumada apresentaram maior desequilibrio perfil_lipidico pode ter sido ocasionado maior consumo dieta relacao analise histopatologica figado grupo defumado observado maior concentracao infiltrado mononuclear espaco porta hepatico pode ter sido ocasionado presenca substancias quimicas presente mortadela defumada deposicao fumaca liquida,MESTRADO,8
2011,UNIVERSIDADE FEDERAL DA PARAÍBA,Efeito do Consumo de Alimentos Ricos em Antioxidantes e Suplementação com Aminoácios de Cadeia Ramificada na Evolução de Indivíduos com Cirrose Alcoólica,ciencias nutricao antioxidantes cirrose alcoolica,NORDESTE,PB,103,cirrose caracteriza distorcao arquitetura hepatica fibrose abuso alcool principais causas doenca hepatica ocidente considerando importancia buscar terapias possam contribuir melhora quadro clinico cirroticos hospitalizados objetivo desse trabalho avaliar efeito consumo_alimentos ricos antioxidantes suplementacao aminoacidos cadeia ramificada acr evolucao individuos cirrose alcoolica pesquisa descritiva randomizada 25 individuos cirroticos etiologia alcoolica sexo_masculino faixa etaria 18 65 anos distribuidos dois grupos experimentais grupo 1 suplementado 15g aminoacidos cadeia ramificada consumo cinco porcoes frutas cinco porcoes vegetais dia grupo 2 suplementado 12 g albumina consumo cinco porcoes frutas cinco porcoes vegetais dia controle grupo 3 suplementado 12 g albumina consumo tres porcoes frutas duas porcoes vegetais dia todos avaliados antropometricamente indice_massa_corporal dobra cutanea tricipital circunferencia_braco circunferencia muscular braco semiotecnica grau edemas membros inferiores ascite avaliados exames laboratoriais gravidade doenca hepatica antes apos intervencao todas dietas oferecidas calculadas acordo rotina hospital verificado consumo suplementacoes alimentos ricos antioxidantes averiguado resto ingestao obtencao percentual desperdicio bruto alimentos verificou grupos 1 2 melhora escores child pugh acreditando devido alimentos ricos antioxidantes comparacao grupo 3 observou significancia media estimada peso ascitico quilos grupo 1 3 antes apos intervencao 6 00 + 0 02 2 70 + 2 72 p=0 041 5 00 + 2 45 2 00 + 3 10 p=0 13 expondo ambos grupos reduziram media estimada peso ascitico apos intervencao contudo grupos diferentes inicialmente estudo grupo 1 tornou semelhante grupo 3 apos intervencao sendo ultimo menos grave quanto ascite desde inicio grupos 2 3 observou antes intervencao significativo media estimada peso ascitico quilos 5 40 + 1 55 2 70 + 2 72 p= 0 13 apos intervencao apresentou resultados significativos 6 00 + 0 01 2 00 + 3 10 p= 0 041 logo reducao media estimada peso ascitico grupo 3 aumento grupo 2 considerando ultimo grupo grave segundo child pugh inicialmente estudo conclui suplementacao acr associado alimentos ricos antioxidantes promoveu melhora significativa ascite individuos cirrose alcoolica descompensada contudo necessario pesquisas possam reduzir complicacoes ascite comum cirrose alcoolica finalidade promover qualidade_vida reduzir re hospitalizacoes mortalidade desses individuos,MESTRADO,9
2011,UNIVERSIDADE FEDERAL DA PARAÍBA,"Associação entre Hipertensão Arterial, Retinol Sérico, Proteína C Reativa e Consumo de Fibras Totais em Idosos: Estudos de Base Populacional",retinol serico proteina c reativa consumo fibras,NORDESTE,PB,116,populacao_idosa representa hoje parcela significativa maioria paises sendo suscetivel doencas_cronicas_transmissiveis pode estar associada estado vitaminico presenca inflamacao objetivo deste estudo portanto verificar associacao retinol serico proteina_c_reativa consumo fibras totais hipertensao_arterial idosos municipio joao pessoa trata pesquisa epidemiologica transversal base_populacional 212 individuos 60 90 anos idade ambos_sexos portadores doencas_cronicas uso medicacao hipotensora inquerito alimentar realizado meio questionario quantitativo frequencia consumo_alimentar retinol serico cromatografia_liquida alta resolucao proteina_c_reativa ultra sensivel pcr us aglutinacao particulas latex analise estatistica aplicado teste_exato_fisher adotou nivel significancia 5 rejeicao hipotese nulidade prevalencia hipertensao isolada 48 08 hipertensao associada outras morbidades 51 92 97 85 idosos hipertensos faziam uso hipotensores apresentavam niveis adequados retinol serico 1 05 mol l 89 13 apresentavam valores pcr adequada < 8 5 mg dl sexo_feminino < 7 9 mg dl sexo_masculino 96 77 apresentavam consumo inadequado fibras 30g dia sexo_masculino 21g dia sexo_feminino relacao significativa valores sericos retinol hipertensao p=0 1661 valores pcr hipertensao p=0 557 associacao significativa consumo inadequado fibras hipertensao p=0 0035 sugerindo primeira vez idosos diferentes niveis socioeconomicos base literatura consultada grupo hipertensos deveria ser esclarecido quanto funcao positiva consumo adequado fibras auxiliaria tratamento hipertensao consequentemente reduziria quantidade hipotensores utilizados populacao conclui considerando consumo inadequado fibras populacao_idosa hipertensa apresentou maioria valores sericos retinol pcr us adequados provavelmente valores elevaram tratar idosos hipertensos quadro agudo inflamacao outras doencas_cronicas descompensada,MESTRADO,10
