AN_BASE,NM_ENTIDADE_ENSINO,CD_PROGRAMA,NM_PRODUCAO,NM_SUBTIPO_PRODUCAO,DS_PALAVRA_CHAVE,NM_REGIAO,SG_UF_IES,CD_AREA_CONHECIMENTO,NR_PAGINAS,DS_RESUMO,NM_GRAU_ACADEMICO
2012,UNIVERSIDADE FEDERAL DE ALAGOAS,26001012020P4,"EFICÁCIA DO SURURU (Myrtella falcata) NA RECUPERAÇÃO DE CRIANÇAS DESNUTRIDAS, MORADORAS DE FAVELAS - MACEIÓ-AL",Mestrado,...,NORDESTE,AL,40500004,100,...,MESTRADO
2012,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,ESTADO NUTRICIONAL E O CONSUMO DE ÁCIDOS GRAXOS SATURADOS E TRANS PROVENIENTES DE LANCHES DE PRÉ-ESCOLARES,Mestrado,"acidos graxos, nutrição escolar",SUDESTE,SP,40500004,56,ESTADO NUTRICIONAL E O CONSUMO DE ÁCIDOS GRAXOS SATURADOS E TRANS PROVENIENTES DE LANCHES DE PRÉ-ESCOLARES,MESTRADO
2012,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,EFEITOS DA GALATO-3-EPIGALOCATEQUINA SOBRE O PERFIL INFLAMATÓRIO DO TECIDO ADIPOSO MESENTÉRICO DE CAMUNDONGOS TRATADOS COM DIETA HIPERLIPÍDICA,Mestrado,GALATO-3-EPIGALOCATEQUINA,SUDESTE,SP,40500004,109,EFEITOS DA GALATO-3-EPIGALOCATEQUINA SOBRE O PERFIL INFLAMATÓRIO DO TECIDO ADIPOSO MESENTÉRICO DE CAMUNDONGOS TRATADOS COM DIETA HIPERLIPÍDICA,MESTRADO
2012,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,ESTADO NUTRICIONAL E PREVALÊNCIA DE ANEMIA NA AMAZÔNIA,Mestrado,"anemia, Amazônia",SUDESTE,SP,40500004,98,ESTADO NUTRICIONAL E PREVALÊNCIA DE ANEMIA NA AMAZÔNIA,MESTRADO
2012,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,"Percepção e Satisfação com o Estado Nutricional, Comportamento e Práticas Alimentares de Mães e Seus Filhos",Doutorado,"criança, mãe, Interação mãe-filho, Estado nutricional",SUDESTE,SP,40500004,126,"Percepção e Satisfação com o Estado Nutricional, Comportamento e Práticas Alimentares de Mães e Seus Filhosxxx",DOUTORADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,"EXPRESSÃO DO FATOR DE CRESCIMENTO DE FIBROBLASTO 23 (FGF-23), DO RECEPTOR DE VITAMINA D (VDR) E DE ESCLEROTINA (SOST) EM TECIDO ÓSSEO DE PACIENTES LITIÁSICOS HIPERCALCIÚRICOS",TESE,"EXPRESSÃO DO FATOR DE CRESCIMENTO DE FIBROBLASTO 23 (FGF-23), DO RECEPTOR DE VITAMINA D (VDR) E DE ESCLEROTINA (SOST) EM TECIDO ÓSSEO DE PACIENTES LITIÁSICOS HIPERCALCIÚRICOS",SUDESTE,SP,40500004,0,"EXPRESSÃO DO FATOR DE CRESCIMENTO DE FIBROBLASTO 23 (FGF-23), DO RECEPTOR DE VITAMINA D (VDR) E DE ESCLEROTINA (SOST) EM TECIDO ÓSSEO DE PACIENTES LITIÁSICOS HIPERCALCIÚRICOS",DOUTORADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,CAPACIDADE DE INGESTÃO MÁXIMA DE ÁGUA E INTOLERÂNCIA À FRUTOSE EM CRIANÇAS E ADOLESCENTES COM DOR ABDOMINAL CRÔNICA,DISSERTAÇÃO,CAPACIDADE DE INGESTÃO MÁXIMA DE ÁGUA E INTOLERÂNCIA À FRUTOSE EM CRIANÇAS E ADOLESCENTES COM DOR ABDOMINAL CRÔNICA,SUDESTE,SP,40500004,0,CAPACIDADE DE INGESTÃO MÁXIMA DE ÁGUA E INTOLERÂNCIA À FRUTOSE EM CRIANÇAS E ADOLESCENTES COM DOR ABDOMINAL CRÔNICA,MESTRADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,COMPARAÇÃO DOS EFEITOS DO BICARBONATO DE SÓDIO COM O CITRATO DE POTÁSSIO EM PACIENTES LITIÁSICOS HIPOCITRATÚRICOS,DISSERTAÇÃO,COMPARAÇÃO DOS EFEITOS DO BICARBONATO DE SÓDIO COM O CITRATO DE POTÁSSIO EM PACIENTES LITIÁSICOS HIPOCITRATÚRICOS,SUDESTE,SP,40500004,0,COMPARAÇÃO DOS EFEITOS DO BICARBONATO DE SÓDIO COM O CITRATO DE POTÁSSIO EM PACIENTES LITIÁSICOS HIPOCITRATÚRICOS,MESTRADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,COMPORTAMENTO ALIMENTAR DE ADOLESCENTES OBESOS MATRICULADOS EM ESCOLAS PÚBLICAS DA CIDADE DE SÃO PAULO,TESE,COMPORTAMENTO ALIMENTAR DE ADOLESCENTES OBESOS MATRICULADOS EM ESCOLAS PÚBLICAS DA CIDADE DE SÃO PAULO,SUDESTE,SP,40500004,0,COMPORTAMENTO ALIMENTAR DE ADOLESCENTES OBESOS MATRICULADOS EM ESCOLAS PÚBLICAS DA CIDADE DE SÃO PAULO,DOUTORADO
2013,UNIVERSIDADE FEDERAL DE SÃO PAULO,33009015041P2,COMPORTAMENTO DE DESEMPENHO PSICOMOTOR EM INDIVIDUOS PORTADORES DA SÍNDROME DA APNEIA OBSTRUTIVA DO SONO (SAOS),DISSERTAÇÃO,TESE NÃO ENVIADA À BIBLIOTECA OU AINDA NÃO CATALOGADA.,SUDESTE,SP,40500004,10,TESE NÃO ENVIADA À BIBLIOTECA OU AINDA NÃO CATALOGADA.,MESTRADO
