topic,FREX,BETA,GAMMA
55,"ean, aps, educacao_alimentar_nutricional, profissionais, politica, gestores, nutricionista, aprendizagem, atencao_primaria_saude, profissional","acoes, saude, profissionais, nutricao, sobre, estudo, analise, formacao, alimentacao, nutricionistas",0.036133972758830006
15,"padroes_alimentares, aup, ultraprocessados, padrao_alimentar, cafe_manha, doces, processados, consumo_alimentos, alimentos_in_natura, alimentos_ultraprocessados","consumo, consumo_alimentar, alimentos, adolescentes, consumo_alimentos, ultraprocessados, padrao, padroes_alimentares, maior, associacao",0.03396246941363856
34,"sindrome_metabolica, hdl_c, risco_cardiovascular, ldl_c, dcv, colesterol_total, triglicerideos, cardiovasculares, ldl, hdl","adolescentes, pressao_arterial, colesterol_total, variaveis, anos, risco, associacao, triglicerideos, perfil_lipidico, sindrome_metabolica",0.029996560730473916
4,"criancas, infantil, alimentacao_complementar, crianca, infancia, indice_massa_corporal_idade, escolaridade_materna, meses, escolares, aleitamento_materno","criancas, idade, meses, anos, estado_nutricional, crianca, excesso_peso, vida, infantil, maes",0.029883893854287708
59,"universitarios, sintomas_depressivos, depressao, comportamento_sedentario, alcool, tabagismo, estudantes_universitarios, estilo_vida, pratica_atividade_fisica, inatividade_fisica","associacao, maior, anos, prevalencia, consumo, atividade_fisica, variaveis, estilo_vida, depressao, saude",0.028774768390240672
39,"pnae, alimentacao_escolar, programa_nacional_alimentacao_escolar, agricultura_familiar, cardapios, sustentabilidade, manipuladores_alimentos, manipuladores, uan, boas","alimentos, alimentacao_escolar, praticas, pnae, qualidade, cardapios, refeicoes, risco, estudo, resultados",0.028415657592442935
25,"comensalidade, significados, sentidos, saberes, discurso, discursos, habitus, concepcoes, narrativas, bourdieu","alimentacao, sobre, campo, pesquisa, estudo, partir, sociais, analise, nutricao, processo",0.026626494982746888
5,"has, alagoas, violencia, prevalencias, capitulo, problema, fatores_associados, original, hipertensao_arterial_sistemica, hipertensao","prevalencia, saude, populacao, excesso_peso, artigo, anos, fatores_associados, has, fatores, problema",0.024494843406541112
54,"micronutrientes, energia, nutrientes, macronutrientes, carboidratos, gorduras, ingestao, inadequacao, sodio, habitual","consumo, ingestao, consumo_alimentar, nutrientes, energia, dieta, carboidratos, micronutrientes, grupos, sodio",0.022502293476147895
27,"pre_natal, idade_gestacional, gpg, gestantes, trimestre, gestacional, pos_parto, imc_pre_gestacional, iodo, parto","gestantes, gestacao, mulheres, gestacional, pre_natal, durante, pos_parto, pre, estudo, materna",0.022350512555969156
46,"frutos, polpa, casca, dpph, extratos, fruto, abts, jabuticaba, polpas, cerrado","polpa, frutos, compostos_fenolicos, atividade_antioxidante, totais, extrato, teor, casca, apresentou, extratos",0.021871171449133225
17,"paes, textura, aceitacao, analise_sensorial, aceitabilidade, sensorial, sabor, sensoriais, tecnologicas, aroma","farinha, aceitacao, teor, formulacoes, produtos, sabor, produto, sensorial, paes, maior",0.02165236792490163
64,"cirurgia_bariatrica, cirurgia, intervencao, operatorio, grupo_intervencao, bgyr, pre_operatorio, reganho, roux, perda_peso","intervencao, apos, reducao, meses, pos, grupos, grupo, nutricional, pacientes, aumento",0.021556598695839924
58,"prole, filhotes, lactacao, desmame, perinatal, descendentes, ocidentalizada, dieta_materna, dpn, gestacao","dieta, dias, prole, durante, lactacao, grupo, vida, gestacao, filhotes, grupos",0.02115547999926468
8,"pubmed, scopus, revisao_sistematica, embase, lilacs, medline, cochrane, bases, science, systematic_reviews","estudos, artigos, dados, revisao_sistematica, revisao, incluidos, bases, sobre, resultados, busca",0.02105634365948296
20,"inseguranca_alimentar, pbf, familias, capita, escala_brasileira_inseguranca_alimentar, domicilios, programa_bolsa_familia, seguranca_alimentar, situacao, ebia","inseguranca_alimentar, familias, renda, situacao, per, domicilios, capita, maior, acesso, domicilio",0.02094026348142244
12,"glim, uti, asg, desfechos_clinicos, admissao, obito, risco_nutricional, internacao, utip, criterios_glim","pacientes, desnutricao, mortalidade, tempo, risco_nutricional, internacao, asg, maior, obito, hospitalar",0.02055477394689661
52,"imagem_corporal, comportamentos_alimentares, insatisfacao_corporal, transtornos_alimentares, comer, silhuetas, insatisfacao_imagem_corporal, satisfacao, insatisfacao, percepcao","percepcao, sobre, adolescentes, imagem_corporal, relacao, comportamento, alimentar, comer, alimentacao, comportamento_alimentar",0.0202119677441933
41,"oeov, coagulase, staphylococcus, biofilme, oleos_essenciais, salmonella_spp, aureus, oero, qui, oleo_essencial","amostras, isolados, cepas, bacterias, contaminacao, crescimento, cim, estudo, apresentaram, contagem",0.02019617164177817
30,"tav, roc, braco, rce, indicadores_antropometricos, corte, cintura, mis, angulo_fase, predizer","imc, correlacao, valores, indice, idade, corte, composicao_corporal, indicadores, homens, anos",0.019957606016925762
21,"sobrepeso, obesidade, eutrofia, obesas, mulheres, excesso_peso, imc, eutroficos, sop, obesos","obesidade, mulheres, sobrepeso, imc, excesso_peso, peso, grupo, maior, indice_massa_corporal, estudo",0.01880882052968055
23,"drc, doenca_renal_cronica, dialise, hemodialise, dhgna, transplante, hiv, creatinina, funcao_renal, fibrose","pacientes, drc, doenca, individuos, grupo, hemodialise, estudo, doenca_renal_cronica, dhgna, dialise",0.018036697315667084
50,"especialistas, instrumento, ivc, itens, reprodutibilidade, validacao_conteudo, cronbach, validade, interna, confiabilidade","instrumento, itens, avaliacao, validade, questionario, validacao, especialistas, versao, estudo, conteudo",0.017435849776533428
18,"rotulagem, rotulos, alimentos_industrializados, consumidores, aditivos, ingredientes, vendedores, aditivos_alimentares, informacao_nutricional, comercializados","alimentos, produtos, consumidores, sobre, ingredientes, sodio, rotulos, informacoes, rotulagem, brasil",0.017249364485448528
37,"7nachr, hipotalamo, sinalizacao, gpr120, hfd, akt, hipotalamica, lps, rock, ampk","aumento, animais, insulina, camundongos, via, obesidade, hipotalamo, expressao, sinalizacao, glicose",0.016560801187881953
63,"iid, adiponectina, leptina, inflamatorio, il_6, pcr, inflamatorios, plasmaticas, adipocinas, tnf","concentracoes, leptina, pcr, adiponectina, concentracao, il_6, tnf, inflamacao, inflamatorio, iid",0.01641292916410594
61,"ultrassom, secagem, extracao, vacuo, termossonicacao, acidez, astaxantina, fritura, impregnacao, temperatura","extracao, tempo, amostras, ultrassom, temperatura, agua, cor, armazenamento, tratamento, apos",0.016360265926137894
29,"idosos, fragilidade, envelhecimento, idoso, idosas, idosos_institucionalizados, pessoas_idosas, cognitivo, incapacidade, populacao_idosa","idosos, envelhecimento, anos, saude, idade, variaveis, fragilidade, idosas, maior, associacao",0.016236718892316426
38,"sono, iqd, trabalhadores, qualidade_dieta, pontuacao, ias, turno, indice_qualidade_dieta, pontuacoes, turnos","qualidade, sono, pontuacao, trabalhadores, qualidade_dieta, trabalho, saude, alimentacao, maior, dieta",0.016182251032279
36,"cho, pla, cafeina, corrida, desempenho, atletas, prova, potencia, exaustao, corredores","desempenho, teste, atletas, cafeina, cho, placebo, apos, durante, suplementacao, estudo",0.016106535383193274
42,"qualidade_vida, disfagia, qvrs, sintomas, whoqol, dominios, cuidados, bref, degluticao, cabeca","qualidade_vida, tratamento, pacientes, estado_nutricional, doenca, sintomas, cancer, individuos, dados, nutricional",0.015006197146166779
11,"fermentacao, xique, probioticas, casei, colonica, fermentado, log, paracasei, subsp, probioticos","fermentacao, durante, apos, ufc, viabilidade, probioticos, log, cepas, atividade, armazenamento",0.013921529881622265
33,"dcnt, custos, paises, videos, sisvan, postagens, vigilancia, sus, cobertura, taxas","brasil, paises, saude, dcnt, consumo, populacao, estudo, sistema, tendencia, carga",0.013771770331552772
40,"cha_verde, stz, diabeticos, diabetico, dieta_hiperlipidica, metformina, hls, induzidos, dislipidemia, coracao","animais, grupos, grupo, dieta, dieta_hiperlipidica, extrato, obesidade, tratamento, diabetes, dias",0.013661999062658222
14,"entorno, ambiente_alimentar, estabelecimentos, desertos, cantinas, venda_alimentos, pantanos, epsan, disponibilidade, comercios","estabelecimentos, ambiente_alimentar, alimentos, ambiente, escolas, maior, disponibilidade, alimentares, saudaveis, entorno",0.013303930152664819
32,"chia, linhaca, oleo_coco, oleo, frutose, virgem, oleo_chia, ain, hfhf, soja","oleo, dieta, grupo, chia, grupos, animais, consumo, gordura, oleo_coco, soja",0.012888199815929962
56,"equacoes, tmb, ger, mlg, altman, bland, equacao, equacoes_preditivas, bia, gasto_energetico","equacoes, composicao_corporal, concordancia, estudo, atletas, adolescentes, equacao, mlg, apresentaram, dxa",0.012738039698250653
22,"prandial, ccm, wpc, ages, apetite, voluntarias, glicacao, jejum, amendoim, curcumina","consumo, apos, pos, ingestao, jejum, estudo, efeito, intervencao, grupo, reducao",0.012404384273304432
13,"anemia, hepcidina, folato, hemoglobina, ferro, ferritina, vitamina_b12, retinol, ferropriva, falciforme","ferro, anemia, deficiencia, niveis, hemoglobina, vitamina, zinco, concentracoes, retinol, concentracao",0.011999625242399769
6,"sessao, jogadores, exercicio, treino, jogos, treinamento_forca, 1rm, jogo, imediatamente, treinar","exercicio, apos, exercicio_fisico, treinamento, estudo, intensidade, minutos, muscular, sessao, tempo",0.011943980585844644
2,"sarcopenia, fpm, dinapenia, massa_muscular, sarc, obesidade_sarcopenica, qualidade_muscular, esqueletica, forca_muscular, forca_preensao_manual","sarcopenia, massa_muscular, pacientes, mulheres, forca_muscular, composicao_corporal, associacao, baixa, fpm, avaliar",0.011606946320608961
24,"sod, gpx, estresse_oxidativo, superoxido_dismutase, tbars, oxidativo, enzimas, catalase, cat, glutationa_peroxidase","estresse_oxidativo, atividade, antioxidantes, enzimas, grupo, aumento, antioxidante, grupos, sod, niveis",0.011478384250701076
62,"polimorfismos, snp, snps, fto, alelo, alelos, polimorfismo, hla, dm2, bsmi","dm2, gene, individuos, polimorfismo, doenca, genotipo, polimorfismos, gluten, risco, alelo",0.011134529947844607
7,"adipocitos, epididimal, inguinal, tecido_adiposo_branco, tab, tam, marrom, tecido_adiposo, mesenterico, retroperitoneal","animais, grupo, grupos, tecido_adiposo, maior, relacao, apresentaram, adipocitos, peso, menor",0.011022221002068214
31,"simbiotico, jucara, microbiota_intestinal, intestinal, yacon, microbiota, disbiose, firmicutes, permeabilidade_intestinal, fezes","microbiota_intestinal, intestinal, grupo, grupos, microbiota, jucara, fezes, composicao, efeito, simbiotico",0.010835406326917329
48,"nanoparticulas, encapsulacao, spray, quitosana, propolis, particulas, zeta, microparticulas, microencapsulacao, iogurte","propolis, quitosana, oleo, apresentaram, nanoparticulas, extrato, quanto, potencial, iogurte, particulas",0.010825678731204434
45,"placebo, suplementacao, oleo_peixe, efeitos_suplementacao, cego, capsulas, ensaio_clinico_randomizado, suplementado, controlado, glutamina","suplementacao, placebo, grupo, pacientes, dia, grupos, estudo, apos, reducao, durante",0.010478167310415426
60,"covid_19, pandemia, pandemia_covid_19, sars, cov, virus, distanciamento, coronavirus, zika, remoto","covid_19, pandemia_covid_19, durante, pandemia, estudo, estresse, social, aumento, infeccao, saude",0.010201429620113955
28,"shr, doses, emax, paracetamol, cmg, plaquetaria, psl, fermentum, ciclofosfamida, reatividade","tratamento, animais, grupo, grupos, dose, efeito, tratados, dias, niveis, doses",0.0095512172809143
9,"restricao_proteica, ilhotas, ovx, lphc, dieta_hipoproteica, ratas, prenhes, prenhez, cnp, sham","grupo, grupos, dieta, ratas, ratos, maior, proteina, relacao, durante, menor",0.009507472614967618
1,"vitamina_d, hipovitaminose_d, pth, 25_hidroxivitamina, osseo, dmo, massa_ossea, ingestao_calcio, ossea, insuficiencia","vitamina_d, calcio, deficiencia, dmo, niveis, insuficiencia, ossea, osseo, hipovitaminose_d, estudo",0.009359015177112915
35,"dac, cortical, memoria, labirinto, cerebral, cortex, alastrante, cruz, aberto, propagacao","dac, grupos, animais, ansiedade, cerebral, durante, sobre, comportamentais, comportamento, desenvolvimento",0.009295510856578744
57,"mcf, ecv, cancer_mama, ccr, tumorais, neoplasia, recidiva, mel, wcrf, mama","celulas, cancer_mama, tratamento, cancer, efeito, celular, mcf, efeitos, mel, ccr",0.008569912170512051
19,"tocoferol, cla, agpi, acidos_graxos, omega, dha, linoleico, caroteno, gasosa, ags","acidos_graxos, acido, vitamina, concentracoes, 100g, concentracao, agpi, perfil, dha, tocoferol",0.008418245632836217
49,"leite_humano, leite, caprino, vaca, lactentes, infantis, cabra, nbcal, leite_materno, leites","leite, lactentes, leite_humano, vaca, formulas, leite_materno, amostras, queijo, queijos, estudo",0.00819279752350554
26,"kefir, treinamento_fisico, resistido, treinado, msg, treinamento, sedentario, treinados, sal, obeso","grupos, treinamento, kefir, semanas, animais, treinamento_fisico, grupo, semana, ratos, resistido",0.0076324805387091585
43,"brs, sorgo, feijao, biodisponibilidade, carioca, feijoes, taninos, oliveira, farinha, caupi","farinha, sorgo, feijao, brs, maior, ferro, biodisponibilidade, compostos_fenolicos, genotipos, apresentou",0.0069224807023922945
44,"enterais, nutricao_enteral, barra, liquida, enteral, proteica, bcaa, amendoa, dietas, aminoacidos","proteina, dietas, dieta, proteica, pacientes, proteinas, enterais, proteico, estudo, nutricao_enteral",0.006616657098888032
51,"uva, tomate, polifenois, agrotoxicos, vinhos, safras, solidos, organico, residuos, tinto","polifenois, residuos, solidos, uva, alimentos, agrotoxicos, totais, tomate, quanto, produtos",0.006388791634747854
47,"piperina, mir, mdr, endoteliais, ase, expressao, mirnas, moleculas, especiarias, transcricao","expressao, celulas, mir, efeito, celular, aumento, piperina, acido, vezes, sobre",0.00612873359329177
3,"hipertensas, vfc, pad, nitrato, pas, metabolitos, citrulina, autonomica, sistolica, diastolica","pressao_arterial, metabolitos, grupo, pas, niveis, estudo, aumento, sistolica, pad, grupos",0.005857562271217668
16,"hiperalgesia, parkin, contracao, p2x3, dor, musculares, persistente, receptores, neutrofilos, muscular","muscular, dor, hiperalgesia, receptores, ativacao, musculares, processo, induzida, contracao, mitocondrial",0.005498830987329249
53,"itt, tripsina, silico, placentaria, s6ks, s6k2, ittp, placenta, tamarindo, isoformas","itt, estudo, sendo, proteina, tripsina, ser, estudos, placenta, genes, interacao",0.005341288346703554
10,"catd, vegetarianos, onivoros, vegetariana, stress, vegetarianismo, the, anacardium, vegetarianas, h2o2","catd, individuos, dieta, the, vegetarianos, maior, dados, consumo, food, prevalencia",0.004815402308767238
65,"carie, dental, dentaria, dentes, bucal, dente, amazonia, legal, relatar, experiencia","carie, dental, dados, dentaria, adolescentes, saude, maior, objetivo, bucal, crianca",9.96736146855847e-4
