topic,FREX,BETA,GAMMA
52,"ean, pnae, educacao_alimentar_nutricional, profissionais, alimentacao_escolar","acoes, saude, profissionais, nutricao, estudo",0.03844703359129804
2,"excesso_peso, escolares, meninas, adolescentes, meninos","excesso_peso, adolescentes, anos, obesidade, prevalencia",0.0360031256016636
12,"padroes_alimentares, aup, padrao_alimentar, ultraprocessados, processados","consumo, consumo_alimentar, alimentos, consumo_alimentos, maior",0.03518811680999276
31,"risco_cardiovascular, sindrome_metabolica, cintura, rce, risco_cardiometabolico","pressao_arterial, risco, associacao, anos, variaveis",0.031122557752661182
56,"has, sintomas_depressivos, depressao, alcool, tmc","mulheres, associacao, prevalencia, maior, anos",0.026812211883881644
63,"criancas, crianca, aleitamento_materno, alimentacao_complementar, infantil","criancas, meses, idade, crianca, maes",0.026254492675851965
49,"imagem_corporal, insatisfacao_corporal, sentidos, significados, silhuetas","sobre, alimentacao, imagem_corporal, percepcao, corpo",0.02470201775981999
61,"cirurgia_bariatrica, intervencao, cirurgia, operatorio, grupo_intervencao","intervencao, apos, reducao, meses, grupo",0.024028277864550286
17,"inseguranca_alimentar, familias, capita, pbf, domicilios","inseguranca_alimentar, familias, renda, situacao, per",0.022749673614269515
3,"pubmed, scopus, lilacs, revisao_sistematica, medline","estudos, artigos, revisao_sistematica, dados, revisao",0.021856691177775826
43,"xique, polpa, fruto, dpph, abts","polpa, atividade_antioxidante, extrato, totais, compostos_fenolicos",0.021487272265318044
9,"glim, uti, desfechos_clinicos, internacao, hospitalizados","pacientes, desnutricao, mortalidade, tempo, internacao",0.0213185671195036
54,"prole, filhotes, lactacao, perinatal, desmame","dieta, grupo, dias, prole, lactacao",0.02077855729376458
22,"san, agricultura_familiar, agricultores, sisan, quilombolas","san, seguranca_alimentar_nutricional, pesquisa, estudo, analise",0.020401771464739676
24,"gpg, idade_gestacional, gestantes, trimestre, pre_natal","gestantes, gestacao, mulheres, gestacional, pre_natal",0.020269200773052633
26,"sarcopenia, idosos, idosas, capacidade_funcional, fragilidade","idosos, sarcopenia, anos, idade, envelhecimento",0.02000360702529403
64,"paes, aceitabilidade, aceitacao, textura, biscoitos","farinha, formulacoes, aceitacao, produtos, paes",0.019922528586049693
15,"rotulos, rotulagem, alimentos_industrializados, vendedores, compras","alimentos, produtos, consumidores, qualidade, sobre",0.01969087973627856
27,"angulo_fase, braco, tav, roc, mis","imc, composicao_corporal, correlacao, homens, mulheres",0.01914763933317043
66,"iid, adiponectina, leptina, inflamatorio, inflamatorios","obesidade, concentracoes, leptina, pcr, adiponectina",0.019113898644805904
20,"dialise, hemodialise, dhgna, hiv, transplante","pacientes, doenca, drc, grupo, estudo",0.01734827682109415
36,"sustentabilidade, manipuladores_alimentos, seguranca_alimentos, uan, uane","alimentos, dados, risco, praticas, sobre",0.017256188309673005
35,"7nachr, sinalizacao, hipotalamo, gpr120, akt","aumento, obesidade, animais, insulina, camundongos",0.017005425172400213
38,"oeov, biofilme, antracnose, oecc, oero","isolados, cepas, bacterias, armazenamento, cim",0.01685548972554222
51,"micronutrientes, macronutrientes, sodio, carboidratos, inadequacao","consumo, ingestao, sodio, carboidratos, nutrientes",0.016580889378231215
47,"ivc, especialistas, confiabilidade, reprodutibilidade, instrumento","instrumento, itens, avaliacao, validade, validacao",0.016524794648367647
