topic,FREX,BETA,GAMMA
10,"excesso_peso, prevalencias, sobrepeso, fatores_associados, regressao_poisson, etaria, obesidade_abdominal, prevalencia, demograficas, faixa","excesso_peso, prevalencia, anos, obesidade, idade, estado_nutricional, variaveis, sobrepeso, imc, ic95",0.03782907971323126
33,"aup, ultraprocessados, processados, alimentos_in_natura, minimamente, alimentos_ultraprocessados, consumo_alimentos, energia, macronutrientes, grau_processamento","consumo, consumo_alimentar, ingestao, ultraprocessados, alimentos, consumo_alimentos, energia, maior, processados, dieta",0.02962184369661119
47,"ean, politica, atores, gestao, gestores, acoes, educacao_alimentar_nutricional, conselheiros, municipios, execucao","acoes, saude, estudo, nutricao, sobre, ean, analise, alimentacao, processo, politica",0.02864267560006252
55,"fatores_risco_cardiometabolico, risco_cardiovascular, sindrome_metabolica, dcv, hdl_c, ldl_c, hdl, triglicerideos, colesterol_total, ldl","pressao_arterial, risco, associacao, individuos, colesterol_total, triglicerideos, perfil_lipidico, maior, sindrome_metabolica, variaveis",0.027950070774002658
21,"bourdieu, sentidos, significados, saberes, discursos, discurso, curriculos, disciplina, experiencias, comensalidade","alimentacao, sobre, campo, pesquisa, analise, nutricao, estudo, saude, partir, praticas",0.027565140637490902
67,"cardapios, alimentacao_escolar, pnae, agricultura_familiar, programa_nacional_alimentacao_escolar, cardapio, alunos, sustentabilidade, escolas, cantinas","alimentos, alimentacao_escolar, escolas, escolares, cardapios, pnae, refeicoes, escola, escolar, estudo",0.02693845486987333
68,"padroes_alimentares, cafe_manha, qualidade_dieta, refrigerantes, padrao_alimentar, lanche, doces, carnes, iqd, leguminosas","consumo, consumo_alimentar, padrao, padroes_alimentares, alimentos, frutas, maior, padroes, adesao, saudavel",0.02675177037182153
57,"inseguranca_alimentar, desertos, ambiente_alimentar, familias, pbf, pantanos, domicilios, estabelecimentos, entorno, programa_bolsa_familia","inseguranca_alimentar, familias, estabelecimentos, renda, acesso, situacao, maior, alimentos, ambiente_alimentar, domicilios",0.026717476335477157
15,"sintomas_depressivos, universitarios, ic95, tabagismo, depressao, alcool, tmc, estudantes_universitarios, pratica_atividade_fisica, comportamentos","ic95, associacao, maior, consumo, atividade_fisica, prevalencia, saude, estilo_vida, anos, depressao",0.026337102929186736
65,"criancas, crianca, aleitamento_materno, infantil, ame, alimentacao_complementar, amamentacao, aleitamento_materno_exclusivo, maes, mae","criancas, meses, idade, crianca, maes, infantil, vida, aleitamento_materno, anos, crescimento",0.026098513362270714
54,"glim, nrs, asg, utip, criterios_glim, obito, risco_nutricional, uti, internacao, mis","pacientes, desnutricao, tempo, mortalidade, risco_nutricional, internacao, asg, maior, obito, estado_nutricional",0.02343347329216041
11,"equacoes, bia, tmb, tav, equacao, ger, predicao, mlg, roc, dxa","imc, composicao_corporal, mulheres, valores, equacoes, correlacao, homens, idade, anos, concordancia",0.02179389875994901
31,"embase, revisao_sistematica, pubmed, bases, metanalise, scopus, lilacs, medline, web, cochrane","estudos, artigos, revisao_sistematica, dados, revisao, incluidos, bases, resultados, risco, sobre",0.021190542785527587
37,"intuitivo, pandemia, comer, comportamento_alimentar, emocional, cozinhar, eating, percepcao, pandemia_covid_19, satisfacao","percepcao, comportamento_alimentar, sobre, alimentar, alimentos, alimentacao, relacao, comer, estudo, escala",0.02110203675199265
69,"has, dcnt, custos, hipertensao_arterial_sistemica, doencas_cronicas_transmissiveis, hipertensao, taxas, fatores_risco, obesidade, mortes","obesidade, saude, populacao, individuos, brasil, has, doencas, dcnt, diabetes, doenca",0.020577212658830397
26,"gpg, idade_gestacional, trimestre, gestacional, pos_parto, pre_natal, gig, dmg, pig, ganho_peso_gestacional","gestantes, gestacao, mulheres, gestacional, pre_natal, durante, pos_parto, pre, peso, parto",0.01952675282271565
18,"manipuladores, manipuladores_alimentos, staphylococcus, coagulase, manipulador, dta, salmonella_spp, maos, sanitaria, boas","amostras, alimentos, praticas, risco, condicoes, boas, contaminacao, estudo, qualidade, resultados",0.019332870953619862
30,"hiv, vhc, fibrose, dhgna, gdo, gpid, dii, lipodistrofia, pacientes, transplante","pacientes, doenca, estado_nutricional, individuos, maior, diagnostico, idade, tratamento, qualidade_vida, relacao",0.01896537557665286
63,"prandial, controlado, randomizado, voluntarias, refeicao, saciedade, ensaio_clinico, ensaio_clinico_randomizado, apetite, amendoim","apos, consumo, intervencao, grupo, grupos, estudo, mulheres, reducao, efeito, semanas",0.018571580747321653
32,"cirurgia_bariatrica, bgyr, cirurgia, operatorio, roux, pre_operatorio, reganho, perda_peso, cirurgico, bypass","apos, intervencao, reducao, meses, pos, pacientes, peso, cirurgia_bariatrica, cirurgia, grupo",0.018215623936322492
23,"chia, ain, ccm, oleo_chia, esteatose_hepatica, dieta_hiperlipidica, alimentados, frutose, 93m, redox","grupo, grupos, dieta, animais, obesidade, chia, ratos, dieta_hiperlipidica, semanas, aumento",0.018117830488221718
39,"meninas, adolescentes, adolescencia, meninos, adolescente, escolas_publicas, maturacao_sexual, imagem_corporal, erica, privadas","adolescentes, meninas, meninos, adolescencia, anos, excesso_peso, estudo, escola, peso, idade",0.0181106381410031
56,"usuarios, aps, nutricionistas, cuidado, indigenas, pessoas_idosas, tned, hospitais, profissionais_saude, cuidados","saude, profissionais, nutricionistas, trabalho, sobre, cuidado, nutricional, usuarios, aps, conhecimento",0.017379718162350146
14,"secagem, xique, astaxantina, grao, vacuo, beterraba, tpc, pigmentado, bico, folhas","extrato, farinha, teor, agua, atividade_antioxidante, maior, totais, formulacoes, secagem, propolis",0.017269651910067192
8,"prole, filhotes, lactacao, desmame, descendentes, dieta_materna, ratas, gestacao, perinatal, alimentadas","prole, dieta, lactacao, dias, durante, grupo, gestacao, vida, filhotes, maior",0.01632719462170434
38,"rotulagem, rotulos, alimentos_industrializados, marketing, aditivos, informacao_nutricional, rotulo, aditivos_alimentares, ingredientes, nbcal","alimentos, produtos, sodio, ingredientes, rotulos, brasil, rotulagem, sobre, nutricional, informacoes",0.016305933735847822
17,"ivc, juizes, especialistas, reprodutibilidade, validacao_conteudo, validade, itens, instrumento, interna, validacao","instrumento, avaliacao, itens, validade, validacao, especialistas, teste, concordancia, questionario, aplicacao",0.01610936243939178
42,"sucos, armazenamento, acidez, suco, morango, rhamnosus, queijos, inulina, quimicas, sensorial","armazenamento, dias, suco, fisico, durante, amostras, produto, reducao, produtos, bebidas",0.0154198488064447
61,"selenio, zinco, cobre, vitaminas, vitamina_b12, tocoferol, b12, folato, plasmatico, status","concentracoes, zinco, mulheres, vitamina, vitaminas, selenio, grupo, sericas, apresentaram, concentracao",0.014356922442185975
4,"sarcopenia, dinapenia, sarc, massa_muscular, fpm, immea, fragilidade, mme, obesidade_sarcopenica, forca_preensao_manual","sarcopenia, massa_muscular, pacientes, associacao, mulheres, baixa, anos, avaliar, idade, forca_muscular",0.013734696724200432
27,"alastrante, sert, dhh, fluoxetina, serotonina, dac, serotoninergico, cortical, cerebral, neonatal","animais, grupos, grupo, dias, durante, vida, dac, ratos, desenvolvimento, sobre",0.013466709739371197
35,"resistido, sessao, treinamento_forca, exercicio, treino, treinamento, 1rm, jogos, treinar, sessoes","exercicio, apos, treinamento, muscular, intensidade, estudo, protocolo, teste, minutos, sessao",0.013318726214868496
43,"7nachr, gpr120, parkin, rock, uprmt, sinalizacao, hipotalamo, akt, autofagia, hfd","animais, camundongos, aumento, insulina, via, sinalizacao, exercicio_fisico, hipotalamo, processo, obesos",0.013252678376903452
5,"idosos, idosas, populacao_idosa, capacidade_funcional, cognitivo, idoso, envelhecimento, transteorico, idosos_institucionalizados, longevos","idosos, idosas, envelhecimento, grupo, grupos, mudanca, qualidade_vida, teste, anos, saude",0.012698895423570378
24,"iid, catd, inflamatorio, pcr, biomarcadores, il_6, marcadores_inflamatorios, inflamatorios, gfc, pro","pcr, dieta, inflamacao, il_6, inflamatorio, inflamatorios, biomarcadores, tnf, iid, estresse_oxidativo",0.01181125402296924
3,"bioacessibilidade, extracao, baru, jabuticaba, extratos, teor_compostos_fenolicos, casca, solventes, digestao, etanolico","compostos_fenolicos, extracao, extratos, casca, extrato, compostos, atividade_antioxidante, capacidade_antioxidante, metodo, totais",0.011739667753175172
53,"oeov, oero, antracnose, oecc, car, vulgare, qui, oleos_essenciais, cim, revestimentos","cepas, cim, crescimento, concentracoes, oeov, celulas, frente, concentracao, aplicacao, oleos_essenciais",0.011708733989369344
13,"adipocitos, epididimal, tecido_adiposo, mesenterico, tam, tecidos_adiposos, tab, inguinal, marrom, tecido_adiposo_branco","tecido_adiposo, animais, dieta, grupo, grupos, dieta_hiperlipidica, tnf, adipocitos, obesidade, aumento",0.011512469927896713
60,"toyoi, leucina, sadio, caj, malicia, foliculos, gavagem, ambulacao, dgz, ciclofosfamida","animais, grupos, grupo, tratamento, dias, niveis, efeito, teste, ratos, dia",0.011355160544657848
44,"cho, cafeina, pla, caf, enxague, ciclismo, exercicios, desempenho, ergogenico, ergogenicos","cafeina, desempenho, suplementacao, cho, placebo, sobre, efeitos, efeito, ingestao, pla",0.0113201722589977
51,"drc, doenca_renal_cronica, dialise, dialitica, hemodialise, uremicas, tfg, toxinas, tfge, funcao_renal","pacientes, drc, grupo, hemodialise, doenca_renal_cronica, niveis, dialise, individuos, estudo, suplementacao",0.011264862245075445
58,"lphc, restricao_proteica, ilhotas, cnp, ovx, prenhes, pis, ratas, prenhez, ovariectomia","grupos, grupo, dieta, ratas, ratos, durante, maior, proteina, aumento, relacao",0.010920382412450904
64,"terapia_interdisciplinar, compulsao_alimentar, leptina, adiponectina, adipocinas, vicio, pai, ehna, interdisciplinar, abstinentes","leptina, obesidade, adiponectina, mulheres, imc, reducao, grupo, resultados, concentracoes, tratamento",0.010612221549618843
19,"linhaca, acidos_graxos, omega_3, poli_insaturados, acidos_graxos_saturados, oleo_coco, epa, ags, graxo, virgem","acidos_graxos, oleo, acido, consumo, dieta, omega_3, oleo_coco, perfil, ingestao, linhaca",0.010595650826925533
12,"futebol, atleta, atletas, militares, pentatlo, triade, esforcos, jogadores, aerobia, esportiva","atletas, treinamento, estudo, apos, teste, variaveis, composicao_corporal, apresentaram, durante, corrida",0.01044707095992191
16,"cancer_mama, mcf, wcrf, aicr, dox, tumorais, quimioterapico, piperina, ecv, quimioterapia","celulas, cancer_mama, tratamento, cancer, celular, efeito, aumento, quimioterapia, sobre, mcf",0.00960925117121555
20,"microbiota_intestinal, kefir, agcc, microbiota, firmicutes, intestinal, simbiotico, disbiose, permeabilidade_intestinal, colon","microbiota_intestinal, intestinal, grupo, kefir, microbiota, grupos, obesidade, probioticos, composicao, efeito",0.009503233366650841
25,"tomate, abacate, variedades, vinhos, tomates, cultivares, cultivar, polifenois, margarida, cachaca","teor, maior, teores, totais, polifenois, apresentaram, atividade_antioxidante, minerais, apresentou, amostras",0.009382550346810285
34,"sorgo, milheto, termossonicacao, graos, coccao, cwpc, germinacao, brs, feijoes, ondas","sorgo, graos, coccao, teores, maior, apos, diferentes, compostos_bioativos, genotipos, apresentaram",0.009271764440044652
22,"100g, frutos, carotenoides, cerrado, pitanga, pequi, mangaba, biodiversidade, polpas, cinzas","100g, frutos, polpa, teor, carotenoides, fruto, umidade, casca, especies, proteinas",0.009125422055049095
2,"vitamina_d, hipovitaminose_d, dmo, pth, osseo, ossea, exposicao_solar, vdr, 25_hidroxivitamina, massa_ossea","vitamina_d, calcio, deficiencia, dmo, ossea, insuficiencia, osseo, total, hipovitaminose_d, pth",0.009047763215849065
59,"anemia, hepcidina, ferropriva, ferro, ferritina, heme, hemoglobina, retinol, falciforme, pnsf","ferro, anemia, niveis, hemoglobina, deficiencia, vitamina, retinol, suplementacao, ferritina, concentracao",0.009028141488381027
29,"sono, turnos, turno, trabalhadores, alternantes, ocupacional, sonolencia, ocupacionais, cronotipo, vigilia","sono, qualidade, trabalhadores, trabalho, estresse, tempo, estudo, turno, relacao, maior",0.008867369666779517
36,"fermentacao, fermentum, colonica, lactobacillus, probioticas, spp, bifidobacterium, prebiotico, latico, coprodutos","fermentacao, lactobacillus, cepas, durante, meio, producao, potencial, spp, fermentum, atividade",0.008111351783404289
50,"cookies, biscoitos, oliveira, farinha, enterais, feijao, analise_sensorial, arroz, formulacoes, biscoito","farinha, feijao, formulacoes, biscoitos, produtos, composicao, arroz, alem, aceitacao, sensoriais",0.007776566153638879
45,"nanoparticulas, zeta, encapsulacao, ftir, microparticulas, egs, coberturas, particulas, quitosana, encapsulados","quitosana, oleo, nanoparticulas, apresentaram, estabilidade, potencial, particulas, tecnica, encapsulacao, tamanho",0.007702154654729927
66,"stz, diabetico, dm2, diabeticos, controle_glicemico, dm1, hba1c, mellitus, diabetes_mellitus_tipo_2, diabetes","diabetes, dm2, diabeticos, tratamento, mellitus, controle_glicemico, insulina, controle, animais, diabetes_mellitus_tipo_2",0.007420972783543444
46,"psg, gluten, paes, celiacos, celiaca, dq2, drg, pao, tef, hla","gluten, paes, farinha, pao, celiacos, trigo, doenca, estudo, formulacoes, celiaca",0.007231334418361138
9,"polimorfismo, mthfr, polimorfismos, genotipo, alelo, gene, c677t, metilacao, genotipos, genotipagem","gene, polimorfismo, genotipo, polimorfismos, niveis, grupo, genotipos, metilacao, alelo, genes",0.007160822963201347
62,"vaca, alergia, aplv, lit, hre, biodisponibilidade, leite, batata, caseina, excrecao","grupo, leite, grupos, maior, ferro, vaca, dieta, relacao, apresentou, proteina",0.007061695502873306
49,"muc, paracetamol, mucosite, cyp, em1107, ensaio_clinico_randomizado, oficinas, capsulas, guarana, teanina","grupo, grupos, tratamento, placebo, estudo, reducao, suplementacao, intervencao, recebeu, efeito",0.006964952552858952
40,"placentario, mirnas, placenta, mir, placentaria, mirna, trpa1, fetais, mirs, cordao","expressao, mir, placenta, alem, expressao_genica, obesidade, aumento, proteinas, materno, fetal",0.006477304502722878
48,"pon1, tripsina, itt, xilanase, eqpi, cr3, biossurfactante, sialico, epb, eletroforese","atividade, pon1, itt, producao, enzima, estudo, resultados, tripsina, sendo, presenca",0.006098833987108433
28,"camu, acai, jucara, euterpe, videos, anacardium, propolis, microcarpum, dieta_cetogenica, trienantina","acai, jucara, polpa, propolis, tratamento, sobre, fruto, efeito, resultados, extrato",0.005878139543937372
41,"iodo, nutrizes, leite_humano, doacao, olhs, sal, leite_materno, colostro, ciu, lactente","iodo, nutrizes, sal, leite_humano, leite, gestantes, lactentes, leite_materno, ingestao, concentracao",0.005667412372417862
52,"emax, shr, fenilefrina, pd2, hac, wky, plaquetaria, cmg, vascular, endotelio","shr, vascular, tratamento, pressao_arterial, emax, ratos, animais, efeito, compostos, controle",0.004802016030992055
1,"statistical, package, coffee, sciences, the, getd, vegetariana, remoto, vegetarianas, vegetarianos","the, dados, statistical, alimentos, package, social, food, and, sciences, vegetarianos",0.003895973096035571
6,"hiperalgesia, p2x3, fibromialgia, viridiflorol, dor, carragenina, persistente, dmd, sustentada, contracao","dor, muscular, hiperalgesia, receptores, induzida, modelo, contracao, persistente, mecanica, estudo",0.0037436426989438127
7,"sh2d4a, eif5a1l, scz, eif2, dsg, isoformas, p54, s6k2, gostos, s6k1","estudo, celulas, proteina, deteccao, analises, objetivo, cancer, analise, dados, virus",0.003477797376204256
70,"psf, rotatividade, medicos, generalista, hercules, infraestrutura, vinculo, causas, equipe, atuacao","trabalho, psf, rotatividade, medicos, bem, profissionais, condicoes, fatores, estudo, caracterizar",3.755835359365059e-4
