topic;categoria;label
49;Alimentação e Corpo;Relações com o corpo e a alimentação
22;Alimentação e Corpo;Saberes, sentidos e discursos sobre comida
63;Alimentação e Nutrição nos Ciclos da Vida;Alimentação e nutrição infantil 
26;Alimentação e Nutrição nos Ciclos da Vida;Estado nutricional da pessoa idosa 
2;Alimentação e Nutrição nos Ciclos da Vida;Estado nutricional em crianças e adolescentes
24;Alimentação e Nutrição nos Ciclos da Vida;Nutrição e cuidado na gestação
11;Ambientes e insegurança alimentar ;Ambientes Alimentares
17;Ambientes e insegurança alimentar ;Insegurança alimentar e seus determinantes
14;Caracterização dos Alimentos ;Características de alimentos e contaminantes segundo processos de produção, processamento e consumo
43;Caracterização dos Alimentos ;Composição e propriedades de alimentos
16;Caracterização dos Alimentos ;Composição nutricional e de compostos bioativos
40;Caracterização dos Alimentos ;Composição, processamento e biodisponibilidade de nutrientes em grãos
46;Caracterização dos Alimentos ;Composição e qualidade de leites e produtos lácteos
50;Caracterização dos Alimentos ;Polifenóis e compostos bioativos em alimentos
44;Condições e Doenças Crônicas;Agentes ajuvantes no tratamento oncológico/quimioterápico
48;Condições e Doenças Crônicas;Alvos moleculares e vias de sinalização em doenças crônicas
37;Condições e Doenças Crônicas;Experimentos sobre fitoterápicos no contexto de doenças crônicas
28;Condições e Doenças Crônicas;Inflamação e saúde intestinal em condições crônicas
59;Condições e Doenças Crônicas;Rastreamento genético em condições crônicas
64;Desenvolvimento de Produtos ;Desenvolvimento de alimentos de panificação
58;Desenvolvimento de Produtos ;Extração de componentes e conservação de alimentos
41;Desenvolvimento de Produtos ;Técnicas de encapsulamento e propriedades fisico-químicas e funcionais de alimentos
30;Epidemiologia das DCNT;Distribuição e carga das DCNT
62;Epidemiologia das DCNT;Hábitos de vida em grupos específicos
31;Epidemiologia das DCNT;Risco cardiovascular 
56;Epidemiologia das DCNT;Transtornos mentais e fatores associados
51;Epidemiologia Nutricional;Composição e adequação nutricional de dietas 
34;Epidemiologia Nutricional;Conhecimento nutricional, qualidade da dieta e práticas alimentares
10;Epidemiologia Nutricional;Micronutrientes e morbidades
12;Epidemiologia Nutricional;Padrões alimentares
21;Fisiologia e Metabolismo ;Estresse oxidativo
32;Fisiologia e Metabolismo ;Experimentos em desenvolvimento e excitabilidade cerebral
13;Fisiologia e Metabolismo ;Experimentos sobre dor, inflamação e regeneração muscular
25;Fisiologia e Metabolismo ;Experimentos sobre efeitos cardiovasculares e imunomoduladores de compostos bioativos
23;Fisiologia e Metabolismo ;Experimentos sobre intervenções nutricionais e exercício físico nas alterações metabólicas
29;Fisiologia e Metabolismo ;Experimentos sobre os efeitos metabólicos de óleos e gorduras
35;Fisiologia e Metabolismo ;Experimentos sobre regulação metabólica e homeostase
7;Fisiologia e Metabolismo ;Experimentos sobre restrição proteica e metabolismo da insulina
15;Gestão e Políticas de Alimentação, Nutrição e Saúde;Análise e percepção de rotulagem de alimentos
36;Gestão e Políticas de Alimentação, Nutrição e Saúde;Aquisição pública de alimentos e sustentabilidade 
52;Gestão e Políticas de Alimentação, Nutrição e Saúde;Formação e atuação profissional 
27;Métodos de pesquisa e avaliação em Nutrição ;Avaliação de composição corporal
47;Métodos de pesquisa e avaliação em Nutrição ;Desenvolvimento e validação de instrumentos sobre cuidado nutricional e práticas alimentares
9;Métodos de pesquisa e avaliação em Nutrição ;Diagnóstico de risco nutricional em cuidados intensivos
53;Métodos de pesquisa e avaliação em Nutrição ;Métodos para estimativa de composição corporal e metabolismo 
3;Métodos de pesquisa e avaliação em Nutrição ;Revisões em alimentação e nutrição
45;Microbiologia;Boas práticas e segurança de alimentos
38;Microbiologia;Controle microbiano de alimentos
8;Microbiologia;Potencial prebiótico e probiótico de componentes alimentares
57;Nutrição Clínica;COVID-19: resposta imune, sintomas e práticas alimentares
19;Nutrição Clínica;Ensaios clínicos sobre oleaginosas e ácidos graxos para controle metabólico e de peso
42;Nutrição Clínica;Ensaios clínicos sobre suplementação com óleo de peixe/Omega 3 e inflamação no câncer
65;Nutrição Clínica;Aspectos sensoriais de grupos específicos
1;Nutrição Clínica;Fibras alimentares e condições metabólicas
20;Nutrição Clínica;Perfil metabólico e avaliação nutricional em doenças crônicas
18;Nutrição Clínica;Perfil metabólico e intervenções com pessoas com obesidade
39;Nutrição Clínica;Qualidade de vida, saúde e nutrição no paciente grave
61;Nutrição Clínica;Tratamento cirúrgico da obesidade
6;Nutrição Esportiva e Exercício ;Desempenho físico na prática esportiva
33;Nutrição Esportiva e Exercício ;Ensaios clínicos sobre suplementação e desempenho físico
4;Nutrição Esportiva e Exercício ;Esporte: indicadores táticos e treinamento
54;Programação Fetal ;Experimentos na gestação e efeitos na prole
60;Programação Fetal ;Experimentos sobre programação fetal e efeitos metabólicos de exposições precoces
5;Excluído;Excluído
55;Excluído;Excluído
