topic,FREX,DS_RESUMO,document
1,"mthfr, metilacao, hipertensas, c677t, citrulina",hipertensao_arterial_sistemica doenca multifatorial condicao complexa interferem diretamente perfil metabolomico metabolomica tecnica altamente reprodutivel permite analise amostras biologicas intactas necessidade preparacao extensiva reduzindo potencial variabilidade analitica proporcionando identificacao metabolitos desconhecidos tornando valioso perfil abrangente misturas metabolicas complexas alem ser considerada abordagem funcional atividades organismo vem sendo observado fibra_alimentar reduz pressao_arterial pa colesterol circulante apresenta associacao hipertensao sendo mecanismos quais fibras dieteticas reduzem niveis pa ainda elucidados momento logo ainda existem recomendacoes quantitativas fibras diretrizes nacionais internacionais quanto tratamento prevencao hipertensao diante exposto objetivo presente tese avaliar base metabolomica efeito intervencao fibras dieteticas mistas metabolitos hdl hdl_c soro valores pressoricos mulheres hipertensas normotensas excesso_peso trata estudo matriz intervencao duplo cego placebo controlado realizado 60 mulheres adultas faixa etaria 20 60 anos inicialmente amostra selecionada conveniencia aleatoriamente formados quatro grupos grupos 1 g1 hipertensas 3 g3 normotensas receberam doze gramas fibras dieteticas mistas grupos 2 g2 hipertensas 4 g4 normotensas placebo realizadas avaliacao_antropometrica analises_bioquimicas pre pos intervencao colesterol serico triglicerideos hdl_c ldl vldl glicemia_jejum pcr us assim analise perfil metabolomico meio tecnica ressonancia magnetica nuclear 1h rmn 1h relacao resultados primeiro artigo observou g3 diferencas significativas principais tipos metabolitos referentes aumento areas relativas tres picos metabolitos hdl 4 94 ppm 0 0086 hdl 1 28 ppm 0 0337 hdl 0 88 ppm 0 0224 metabolito glicose 4 90 ppm 0 0106 reducao pressao_arterial sistolica pas 0 0292 7 mmhg faixa referencia g4 ocorreu reducao pas 0 0118 4 mmhg metabolito colina 3 65 ppm 0 0266 poe causa validade desses resultados literatura quanto resultados segundo artigo g1 observou relacao aumento hdl_c total soro aumento areas relativas picos metabolitos hdl 0 84 ppm 0 88 ppm relacao negativa hdl_c total soro hdl 1 24 ppm quanto g3 relacoes positivas hdl_c total soro dois metabolitos hdl 0 88 ppm 1 24 ppm alem reducao pas pressao_arterial diastolica pad g1 reducao pas g3 g4 base resultados encontrados metabolitos hdl podem ser alvos prevencao fatores_risco_cardiovascular destaque aumento hdl_c total soro reducao colesterol_total reducao pressao_arterial amostra analisada neste estudo partir intervencao fibras dietetica mistas,4965
1,"mthfr, metilacao, hipertensas, c677t, citrulina",hipertensao_arterial_sistemica has considerada maior fator risco_cardiovascular atribuivel mortalidade fatores interferem prevalencia desse problema dieta porque vem sendo observado consumo fibras_alimentares reduz pressao_arterial sistemica embora ainda consenso dieta pode alterar dna expressao_genica logo objetivo deste estudo avaliar efeito complementacao fibras alimentar pressao_arterial metabolitos score risco_cardiovascular mulheres adultas polimorfismo c677t gene mthfr excesso_peso trata estudo_clinico intervencao duplo cego placebo controlado tema ainda pesquisado cuja amostra composta 60 mulheres 30 hipertensas 30 normotensas realizadas avaliacoes antropometricas estimativa risco_cardiovascular rcv analises_bioquimicas genotipagem polimorfismo c677t gene mthfr analises sobre concentracao metabolitos inicialmente amostra selecionada conveniencia aleatoriamente formados quatro grupos grupos 1 g1 hipertensas 3 g3 normotensas receberam saches doze gramas fibras dieteticas mistas grupos 2 g2 hipertensas 4 g4normotensas placebo relacao resultados primeiro artigo observou g1 genotipo ct tt reducoes valores pressao_arterial sistolica feita intervencao fibras 147 87 + 22 48 mmhg x 129 67 + 19 69 seguido genotipo cc 143 33 + 15 05 mmhg x 129 67 + 14 99 p = 0 0145 g1 genotipo ct tt apresentou reducao pressao_arterial sistolica 15 5 mmhg p = 0 0026 grupo cc g1 reducao 15 0 mmhg p = 0 0115 estudo mostrou efeito fibra sobre valores pressoricos aconteceu independentemente genotipos c677t pronunciado portadores alelo t quanto resultados segundo artigo relacao intervencao fibras dieteticas constataram alteracoes valores referentes reducao risco_cardiovascular grupo 1 grupo 3 portadoras genotipos cc genotipos ct tt referentes polimorfismo c677t gene mthfr embora diferencas sido significativas alem disso aumento significativo valores hdl_c grupo 1 classificacao genotipos resultados encontrados deram evidencias significativas polimorfismo c677t gene mthfr exerce influencia valores pas intervencao fibra dietetica mulheres hipertensas embora reducao rcv aumento hdl_c sido significativos base resultados encontrados observou comparar resultados genotipos grupos grupos utilizando diferentes testes estatisticos encontrou influencia polimorfismo apos intervencao fibras utilizar teste comparacao conover ocorreu influencia genotipo dependente grupo hipertensos suplementados fibras porem distribuir grupos genotipos ocorreu diferenca quanto score risco_cardiovascular valores ldl_c hdl_c embora observou reducao significativa desses valores,3010
1,"mthfr, metilacao, hipertensas, c677t, citrulina",hipertensao_arterial condicao clinica complexa multifatorial caracterizada elevacao persistente pressao_arterial alteracoes metabolicas apesar avancos compreensao fisiopatologia implementacao estrategias prevencao tratamento eficazes continua sendo maiores problemas emergentes saude_publica mundo contexto etiologico envolvidos fatores geneticos estilo_vida dentre destaca alimentacao fibra dietetica sido associada prevencao alteracoes glicemia resistencia_insulina perda_peso dislipidemias embora ainda consesual pressao_arterial regulacao pressao_arterial envolvida epigenetica criou novo conceito sobre heranca genetica regulacao fenotipica organismo podera ser melhor compreendida pos genomica metabolomica possibilitou melhor identificacao sobre relacoes metabolicas estudo objetivo avaliar perfil metabolomico influencia polimorfismo c677t gene mthfr perfil metabolomico apos suplementacao fibra dietetica mulheres hipertensas sobrepeso obesidade estudo_intervencao duplo cego placebo controlado formacao dois grupos grupo experimental composto 14 mulheres hipertensas sobrepeso obesidade suplementado 12 g dia fibra dietetica grupo placebo n=12 suplementado 12 gramas amido milho 8 semanas amostra composta mulheres faixa etaria 20 60 anos realizadas avaliacao_antropometrica analises_bioquimicas pre pos intervencao colesterol serico ct triglicerideos tg hdlc ldlc glicemia_jejum proteina_c_reativa ultrassensivel pcr us assim analise perfil metabolomico meio tecnica ressonancia magnetica nuclear h 1 hrmn genotipagem polimorfismo gene mthfr primeiro artigo sobre perfil metabolomico grupo 1 hipertensos excesso_peso suplementados fibras observou apos analise_componentes_principais pca aumento valores seguintes metabolitos hdl_c acordo deslocamento quimico ppm 0 88 p 0 0000 1 24 p 0 0010 1 28 p 0 0000 4 94 p 0 258 colina 3 65 p 0 0035 hidroxibutirato 1 20 p 0 0010 bem reducao pressao_arterial sistolica antes intervencao analise perfil metabolomico rmn soro mulheres hipertensas excesso_peso permitiu identificar metabolitos facilitando melhor compreensao vias metabolicas podendo auxiliar tratamento dessas patologias associadas segundo artigo analisados influencia polimorfismo c677t gene mthfr perfil metabolomico resposta consumo fibra mulheres genotipos ct tt apresentaram maiores reducoes valores pressao_arterial sistolica apos intervencao fibras assim aumento area concentracao picos varios metabolitos hdl hidroxibutirato grupo genotipo ct tt conclui intervencao fibra dietetica mista reduziu pressao_arterial sistolica afetou perfil metabolomico mulheres excesso_peso hipertensao polimorfismo c6777t gene mthfr influenciou perfil,3688
1,"mthfr, metilacao, hipertensas, c677t, citrulina",l citrulina malato sido usado aumentar vascularizacao niveis efeitos reflexos sinalizacao metabolica oxidativa efeitos agu musculo_esqueletico composto diferentes tipos fibras musculares relatados objetivo deste trabalho compreender efeitos suplementa cao aguda l citrulina malato vs l citrulina metabolismo oxido nitrico regulacao genes angiogenicos musculos extensor longo dedos edl soleo ratos adultos quarenta oito ratos_wistar_machos 210 dias idade 390 + 29 g randomizados controle suplementado veiculo gavagem agua l citrulina 170 mg kg peso animal l citrulina malato 170 mg l citrulina 86 mg malato kg peso animal nitrito nitrato medidos plasma enquanto niveis nitrito nitrato compostos nitrosilados expressao_genes nos1 nos3 hif 1 vegf medidos edl soleo todos parametros avaliados 90 minutos 270 minutos apos ingestao plasma 90 min l citrulina l citrulina malato aumentaram niveis plasmati cos nitrito p = 0 0214 musculo metabolitos alterados edl 90 min l citrulina l citrulina malato aumentaram metabolitos l citrulina malato superior todos outros grupos nitrito p = 0 0146 nitrato p = 0 0004 270 min l citrulina l citrulina malato aumentaram niveis compostos nitrosilados p < 0 0001 expressao gene nos1 p = 0 0001 soleo 90 min apenas aumentou niveis hif 1 p < 0 0001 270 min apenas l citrulina malato nos3 p < 0 05 tanto l citrulina l citru lina malato aumentaram hif1 p < 0 0001 vegf afetado nenhuma suplementacao nenhum momento adicao malato l citrulina potencializou aumento metabolitos expressao nos1 musculo edl soleo ambos suplementos aumentam expressao gene hif 1 porem l citrulina malato aumenta hif 1 rapidamente l citrulina isolada l citrulina malato aumenta expressao gene nos3,5242
1,"mthfr, metilacao, hipertensas, c677t, citrulina",introducao momento ainda esclarecido associacoes parametros glicemia dieta atividade_fisica gerando opinioes conflitantes pesquisas alem disso constatacao associacoes conjuntas pode ser fortemente influenciada tipo populacao estudo pesquisas relacionando forma conjunta alteracoes curva sobrecarga glicemica massa_corporal nivel atividade_fisica dieta essenciais avanco conhecimento nessa area objetivo analisar curva sobrecarga glicemica massa_corporal padrao_alimentar individuos adultos jovens aparentemente saudaveis diferentes niveis atividade_fisica metodologia analisados 80 individuos aparentemente saudaveis ambos_sexos idade 18 30 anos aplicamos registro_alimentar tres dias obter padrao_alimentar fizemos avaliacao_nutricional fisica aferindo medidas_antropometricas exame bioimpedancia coletado glicemia_jejum logo apos voluntario fez ingesta dextrose apos 30 min glicemia capilar aferida novamente dando sequencia exame curva glicemica tempos 60 90 120 min resultados curva glicemica apresentou correlacao p > 0 05 macronutrientes padrao_alimentar curva glicemica apos sobrecarga dextrose todo grupo obteve diferencas significativas longo tempo mostrando sobrecarga carboidrato eleva glicemia apos 30 min ingestao alem disso ocorreu reducao significativa 60 min valores estabilizaram partir 90 minutos curva glicemica variou funcao sexo pressao_arterial variaveis corporais conclusao curva sobrecarga glicemica individuos jovens aparentemente saudaveis deste estudo correlacionada nivel atividade_fisica composicao_corporal tampouco distribuicao macro micronutrientes ingeridos alteracoes podem ter sido observadas devido participantes dessa pesquisa serem jovens aparentemente saudaveis nivel atividade_fisica influenciou media curva glicemic,4266
1,"mthfr, metilacao, hipertensas, c677t, citrulina",introducao tendencia secular refere qualquer comportamento ascendente descendente neutro variaveis estudadas determinado grupo populacional longos periodos tempo objetivo estabelecer tendencia secular variaveis antropometricas desempenho_fisico individuos avaliados pratica atividades fisicas regiao cuiaba mt anos 1980 1997 metodo trata estudo retrospectivo transversal descritivo amostra constituiu banco dados universidade federal mato grosso ufmt totalizando 4 960 avaliados ambos generos estabelecidos indicativos tendencia secular variaveis indice_massa_corporal imc kg m2 volume maximo oxigenio litros minuto vo2 max l min 1 compreendendo idades 9 19 9 g1 20  39 9 g2 40 anos g3 resultados tendencia geral toda amostra imc p=0 035 vo2 max l min 1 p=0 023 imc aumentou diminuiu g1 aumentou estabilizou g2 aumentou continuamente g3 vo2 max l min 1 comportamento ondulatorio maiores aumentos meados 1980 1995 1997 conclusao possivelmente individuos bem orientados alimentados longo tempo resultando melhora vo2 max l min 1 aumento imc g3 possivelmente devido massa_magra prevencao deste aumento outros grupos,485
1,"mthfr, metilacao, hipertensas, c677t, citrulina",compreender efeitos dieta folato oleo avela perfil metilacao dna perfil antropometrico lipidico estresse_oxidativo relevante podendo investigacao nesse estagio fornecer subsidios dieteticos importantes desenvolvimento estrategias prevencao dessas doencas ainda fase adulta presente projeto doutorado vinculado projeto maior intitulado ii ciclo diagnostico intervencao situacao alimentar nutricional doencas transmissiveis prevalentes populacao municipio joao pessoa pb ii disandnt pb dois desenhos metodologicos primeiro trata composicao amostra_representativa zona leste oeste individuos adultos municipio joao pessoa partir ii disandnt jp estudo base_populacional corte transversal segundo desenho metodologico desenvolvido subamostra populacao acima mencionada sendo tipo ensaio_clinico intervencional resultados encontrados primeiro desenho metodologico composto 265 individuos adultos referente perfil metilacao observado 50 populacao metilada 21 metilada quanto estado_nutricional 53 populacao encontrava sobrepeso obesidade observado ainda quanto relacoes individuos metilados associacao maiores chances risco sobrepeso obesidade elevado rca segundo desenho metodologico constituido 40 mulheres classificadas sobrepeso obesidade encontrou pos intervencao mulheres apresentaram reducao valores metilacao gene adrb3 mda aumento valores hdl_c cat sendo significativos quanto grupo_intervencao dietetica apresentou melhor resultado grupo 3 maior reducao niveis metilacao gene adrb3 18 conclusao observou alteracoes epigeneticas locus gene adrb3 irao contribuir melhor compreensao desenvolvimento obesidade doencas_cronicas_transmissiveis envolvidas consumo gordura_trans perfil_lipidico acido folico estudo primeiro demosntrar efeito benefico consumo capsula oleo avela modular perfil metilacao referente gene adrb3 reducao cintura rca ldl_c,1963
1,"mthfr, metilacao, hipertensas, c677t, citrulina",apos conclusao projeto genoma surgiram novas linhas pesquisa dentre nutrigenomica cujo objetivo relacionar componentes dieteticos genoma humano partir deste advento pesquisas sendo desenvolvidas analisar mecanismos epigeneticos podem estar envolvidos metabolismo diversos nutrientes participam etiologia diferentes mobirdades metilacao dna mecanismo epigenetico conhecido participa regulacao transcricional expressao_genica sido associada diversas desordens metabolicas saude alteracoes metilacao gene mthfr acarretam modificacoes ciclo homocisteina acido folico alem enzima metilenotetra hidrofolato redutase codificada gene pode doar grupos metil metilacao dna objetivo avaliar niveis metilacao gene mthfr relacionar niveis glicemicos estresse_oxidativo folato individuos adultos metodologia estudo epidemiologico transversal base_populacional envolvendo 265 individuos adultos ambos generos representativo zonas leste oeste municipio joao pessoa pb vinculado pesquisa base_populacional intitulada ii ciclo diagnostico intervencao situacao alimentar nutricional doencas transmissiveis prevalentes populacao municipio joao pessoa pb ii disandnt pb dados obtidos meio aplicacao domicilios questionarios caracterizacao socioeconomica demografica caracterizacao epidemiologica estilo_vida consumo alcool avaliacao_consumo_alimentar estado_nutricional partir amostras sanguineas concentracoes sericas capacidade_antioxidante_total malondealdeido perfil_lipidico acido folico vitamina_b12 homocisteina analisadas analises niveis metilacao dna promotores gene mthfr realizada atraves metodo pcr tempo real analise estatistica utilizados teste test t student regressao_linear_multipla utilizando stata 13 resultados niveis metilacao gene mthfr 34 14 + 17 41 ocorreu relacao positiva niveis metilacao niveis glicemia_jejum observando glicemia_jejum aumenta 1mg dl niveis metilacao aumentam 0 050 relacao consumo eventual seis doses bebida alcoolica ocasioes especiais individuos ingerem seis doses alcool niveis metilacao aumentam 4 47 quanto consumo folato relacao inversa medida consumo folato diminui 1mg niveis metilacao aumentam 0 05 conclusao dados demonstram associacao positiva metilacao gene mthfr glicemia_jejum consumo_excessivo alcool ocasioes eventuais negativo consumo folato,2380
1,"mthfr, metilacao, hipertensas, c677t, citrulina",alteracoes epigeneticas metilacao dna associadas etiologia doencas relacionadas inflamacao existe relacao temporal inflamacao metilacao quais niveis metilacao dna podem ser causa impulsiona estado_inflamatorio consequencia desse estado metilacao genes lpl adrb3 mthfr destaca devido importante desempenho regulacao metabolica sendo assim presente estudo avaliou associacao niveis metilacao genes lpl adrb3 mthfr individuos doencas_cronicas_transmissiveis dcnt destaque prevalentes obesidade fatores_risco_cardiovascular hipertensao dislipidemias diabetes estando isoladas associadas individuos dcnt grau inflamacao estudo_transversal base_populacional vinculado pesquisa intitulada ii ciclo diagnostico intervencao situacao alimentar nutricional doencas transmissiveis prevalentes populacao municipio joao pessoa pb ii disandnt pb selecionados 261 individuos adultos ambos_sexos residentes leste oeste municipio joao pessoa parametros inflamatorios antioxidantes analisados sangue incluiram perfil_lipidico capacidade_antioxidante_total malondealdeido homocisteina alfa 1 glicoproteina acida proteina_c_reativa acido folico avaliacao niveis metilacao dna genes lpl adrb3 mthfr realizada leucocitos sangue regiao promotora metodo utilizado high resolution melting hsm partir pcr baseada conversao bissulfito utilizando software methprimer diferenca significativa nivel metilacao genes lpl adrb3 mthfr parametros inflamatorios nenhum tres grupos estudados individuos dcnt isoladas observou associacao positiva valores pcr 2 49 mg l + 3 7 niveis metilacao gene lpl 35 + 18 p = 0 003 dcnt associadas individuos sexo_feminino apresentaram maiores niveis metilacao gene lpl 40 + 20 p = 0 041 niveis metilacao gene mthfr 35 + 18 encontrou associacao positiva valores mda 3 02 mol l + 0 8 p = 0 032 uso farmacos apresentou influencia sobre nivel metilacao nenhum tres genes analisados conclusao individuos dcnt isoladas associadas ocorreu associacao niveis metilacao gene lpl valores pcr genero feminino gene mthfr mda presente estudo devera auxiliar entendimento etiologia tratamento doencas referidas possibilitando descoberta novas frentes combate dcnt isoladas associadas,3685
1,"mthfr, metilacao, hipertensas, c677t, citrulina",obesidade prevalencia constante aumento caracterizando importante problema saude_publica afetar qualidade_vida risco desenvolvimento patologias aumento custos relacionados saude brasil acometimento desta patologia atinge grande parte populacao portanto estrategias prevencao tratamento eficazes devem ser adotadas influencia genetica etiologia obesidade bastante fundamentada desta forma identificacao genes candidatos desenvolvimento permite uso recomendacoes dieteticas estilo_vida individualizadas gerando beneficios populacao polimorfismo c677t gene mthfr relacionado diversas alteracoes bioquimicas relevantes dislipidemia alteracoes niveis sericos homocisteina acido folico vitamina_b12 alguns marcadores_estresse_oxidativo capacidade_antioxidante_total malondialdeido levando risco elevado surgimento diversas doencas_cronicas alteracoes bioquimicas surgimento estresse_oxidativo tendem relacionar excesso_peso dieta contendo antioxidantes especialmente folato caracteriza ser benefica individuos polimorfismo c677t gene mthfr possuir funcao anti inflamatoria atuar sobre estresse_oxidativo desempenhar funcao genica importante objetivo objetivo deste estudo avaliar influencia polimorfismo c677t gene mthfr efeito dieta contendo folato sobre estresse_oxidativo perfil_lipidico niveis homocisteina mulheres adultas sobrepeso obesidade metodologia trata estudo_intervencao duplo cego realizado municipio nordeste brasil participaram estudo 48 mulheres adultas 20 59 anos idade indice_massa_corporal 26 19 kg m² 49 64 kg m² quais avaliados niveis capacidade_antioxidante_total malondialdeido perfil_lipidico acido folico homocisteina vitamina_b12 alem genotipagem polimorfismo c677t gene mthfr consumo_alimentar atraves recordatorio_alimentar 24 horas divididas atraves randomizacao grupo recebendo 300g vegetais contendo 191 g folato outro recebendo 300g vegetais contendo 90 g folato durante 08 semanas termino intervencao dietetica novos exames_bioquimicos realizados analise estatistica utilizados analise variancia anova teste t student correlacao_pearson atraves software stata 13 resultados intervencao dietetica aumentou concentracoes sericas acido folico dois grupos analisados grupo recebeu intervencao contendo 191 g folato apresentou melhores resultados niveis homocisteina capacidade_antioxidante_total havendo maiores efeitos portadores genotipo tt conclusao consumo folato demonstrou efeitos positivos sobre marcadores_estresse_oxidativo presenca polimorfismo c677t gene mthfr especialmente portadores genotipo tt apresentaram melhores respostas partir intervencao contendo 191 g folato,1965
