topic,FREX,DS_RESUMO,document
1,"mthfr, metilacao, hipertensas, c677t, citrulina",hipertensao_arterial_sistemica doenca multifatorial condicao complexa interferem diretamente perfil metabolomico metabolomica tecnica altamente reprodutivel permite analise amostras biologicas intactas necessidade preparacao extensiva reduzindo potencial variabilidade analitica proporcionando identificacao metabolitos desconhecidos tornando valioso perfil abrangente misturas metabolicas complexas alem ser considerada abordagem funcional atividades organismo vem sendo observado fibra_alimentar reduz pressao_arterial pa colesterol circulante apresenta associacao hipertensao sendo mecanismos quais fibras dieteticas reduzem niveis pa ainda elucidados momento logo ainda existem recomendacoes quantitativas fibras diretrizes nacionais internacionais quanto tratamento prevencao hipertensao diante exposto objetivo presente tese avaliar base metabolomica efeito intervencao fibras dieteticas mistas metabolitos hdl hdl_c soro valores pressoricos mulheres hipertensas normotensas excesso_peso trata estudo matriz intervencao duplo cego placebo controlado realizado 60 mulheres adultas faixa etaria 20 60 anos inicialmente amostra selecionada conveniencia aleatoriamente formados quatro grupos grupos 1 g1 hipertensas 3 g3 normotensas receberam doze gramas fibras dieteticas mistas grupos 2 g2 hipertensas 4 g4 normotensas placebo realizadas avaliacao_antropometrica analises_bioquimicas pre pos intervencao colesterol serico triglicerideos hdl_c ldl vldl glicemia_jejum pcr us assim analise perfil metabolomico meio tecnica ressonancia magnetica nuclear 1h rmn 1h relacao resultados primeiro artigo observou g3 diferencas significativas principais tipos metabolitos referentes aumento areas relativas tres picos metabolitos hdl 4 94 ppm 0 0086 hdl 1 28 ppm 0 0337 hdl 0 88 ppm 0 0224 metabolito glicose 4 90 ppm 0 0106 reducao pressao_arterial sistolica pas 0 0292 7 mmhg faixa referencia g4 ocorreu reducao pas 0 0118 4 mmhg metabolito colina 3 65 ppm 0 0266 poe causa validade desses resultados literatura quanto resultados segundo artigo g1 observou relacao aumento hdl_c total soro aumento areas relativas picos metabolitos hdl 0 84 ppm 0 88 ppm relacao negativa hdl_c total soro hdl 1 24 ppm quanto g3 relacoes positivas hdl_c total soro dois metabolitos hdl 0 88 ppm 1 24 ppm alem reducao pas pressao_arterial diastolica pad g1 reducao pas g3 g4 base resultados encontrados metabolitos hdl podem ser alvos prevencao fatores_risco_cardiovascular destaque aumento hdl_c total soro reducao colesterol_total reducao pressao_arterial amostra analisada neste estudo partir intervencao fibras dietetica mistas,4965
1,"mthfr, metilacao, hipertensas, c677t, citrulina",hipertensao_arterial condicao clinica complexa multifatorial caracterizada elevacao persistente pressao_arterial alteracoes metabolicas apesar avancos compreensao fisiopatologia implementacao estrategias prevencao tratamento eficazes continua sendo maiores problemas emergentes saude_publica mundo contexto etiologico envolvidos fatores geneticos estilo_vida dentre destaca alimentacao fibra dietetica sido associada prevencao alteracoes glicemia resistencia_insulina perda_peso dislipidemias embora ainda consesual pressao_arterial regulacao pressao_arterial envolvida epigenetica criou novo conceito sobre heranca genetica regulacao fenotipica organismo podera ser melhor compreendida pos genomica metabolomica possibilitou melhor identificacao sobre relacoes metabolicas estudo objetivo avaliar perfil metabolomico influencia polimorfismo c677t gene mthfr perfil metabolomico apos suplementacao fibra dietetica mulheres hipertensas sobrepeso obesidade estudo_intervencao duplo cego placebo controlado formacao dois grupos grupo experimental composto 14 mulheres hipertensas sobrepeso obesidade suplementado 12 g dia fibra dietetica grupo placebo n=12 suplementado 12 gramas amido milho 8 semanas amostra composta mulheres faixa etaria 20 60 anos realizadas avaliacao_antropometrica analises_bioquimicas pre pos intervencao colesterol serico ct triglicerideos tg hdlc ldlc glicemia_jejum proteina_c_reativa ultrassensivel pcr us assim analise perfil metabolomico meio tecnica ressonancia magnetica nuclear h 1 hrmn genotipagem polimorfismo gene mthfr primeiro artigo sobre perfil metabolomico grupo 1 hipertensos excesso_peso suplementados fibras observou apos analise_componentes_principais pca aumento valores seguintes metabolitos hdl_c acordo deslocamento quimico ppm 0 88 p 0 0000 1 24 p 0 0010 1 28 p 0 0000 4 94 p 0 258 colina 3 65 p 0 0035 hidroxibutirato 1 20 p 0 0010 bem reducao pressao_arterial sistolica antes intervencao analise perfil metabolomico rmn soro mulheres hipertensas excesso_peso permitiu identificar metabolitos facilitando melhor compreensao vias metabolicas podendo auxiliar tratamento dessas patologias associadas segundo artigo analisados influencia polimorfismo c677t gene mthfr perfil metabolomico resposta consumo fibra mulheres genotipos ct tt apresentaram maiores reducoes valores pressao_arterial sistolica apos intervencao fibras assim aumento area concentracao picos varios metabolitos hdl hidroxibutirato grupo genotipo ct tt conclui intervencao fibra dietetica mista reduziu pressao_arterial sistolica afetou perfil metabolomico mulheres excesso_peso hipertensao polimorfismo c6777t gene mthfr influenciou perfil,3688
1,"mthfr, metilacao, hipertensas, c677t, citrulina",hipertensao_arterial_sistemica has considerada maior fator risco_cardiovascular atribuivel mortalidade fatores interferem prevalencia desse problema dieta porque vem sendo observado consumo fibras_alimentares reduz pressao_arterial sistemica embora ainda consenso dieta pode alterar dna expressao_genica logo objetivo deste estudo avaliar efeito complementacao fibras alimentar pressao_arterial metabolitos score risco_cardiovascular mulheres adultas polimorfismo c677t gene mthfr excesso_peso trata estudo_clinico intervencao duplo cego placebo controlado tema ainda pesquisado cuja amostra composta 60 mulheres 30 hipertensas 30 normotensas realizadas avaliacoes antropometricas estimativa risco_cardiovascular rcv analises_bioquimicas genotipagem polimorfismo c677t gene mthfr analises sobre concentracao metabolitos inicialmente amostra selecionada conveniencia aleatoriamente formados quatro grupos grupos 1 g1 hipertensas 3 g3 normotensas receberam saches doze gramas fibras dieteticas mistas grupos 2 g2 hipertensas 4 g4normotensas placebo relacao resultados primeiro artigo observou g1 genotipo ct tt reducoes valores pressao_arterial sistolica feita intervencao fibras 147 87 + 22 48 mmhg x 129 67 + 19 69 seguido genotipo cc 143 33 + 15 05 mmhg x 129 67 + 14 99 p = 0 0145 g1 genotipo ct tt apresentou reducao pressao_arterial sistolica 15 5 mmhg p = 0 0026 grupo cc g1 reducao 15 0 mmhg p = 0 0115 estudo mostrou efeito fibra sobre valores pressoricos aconteceu independentemente genotipos c677t pronunciado portadores alelo t quanto resultados segundo artigo relacao intervencao fibras dieteticas constataram alteracoes valores referentes reducao risco_cardiovascular grupo 1 grupo 3 portadoras genotipos cc genotipos ct tt referentes polimorfismo c677t gene mthfr embora diferencas sido significativas alem disso aumento significativo valores hdl_c grupo 1 classificacao genotipos resultados encontrados deram evidencias significativas polimorfismo c677t gene mthfr exerce influencia valores pas intervencao fibra dietetica mulheres hipertensas embora reducao rcv aumento hdl_c sido significativos base resultados encontrados observou comparar resultados genotipos grupos grupos utilizando diferentes testes estatisticos encontrou influencia polimorfismo apos intervencao fibras utilizar teste comparacao conover ocorreu influencia genotipo dependente grupo hipertensos suplementados fibras porem distribuir grupos genotipos ocorreu diferenca quanto score risco_cardiovascular valores ldl_c hdl_c embora observou reducao significativa desses valores,3010
1,"mthfr, metilacao, hipertensas, c677t, citrulina",l citrulina malato sido usado aumentar vascularizacao niveis efeitos reflexos sinalizacao metabolica oxidativa efeitos agu musculo_esqueletico composto diferentes tipos fibras musculares relatados objetivo deste trabalho compreender efeitos suplementa cao aguda l citrulina malato vs l citrulina metabolismo oxido nitrico regulacao genes angiogenicos musculos extensor longo dedos edl soleo ratos adultos quarenta oito ratos_wistar_machos 210 dias idade 390 + 29 g randomizados controle suplementado veiculo gavagem agua l citrulina 170 mg kg peso animal l citrulina malato 170 mg l citrulina 86 mg malato kg peso animal nitrito nitrato medidos plasma enquanto niveis nitrito nitrato compostos nitrosilados expressao_genes nos1 nos3 hif 1 vegf medidos edl soleo todos parametros avaliados 90 minutos 270 minutos apos ingestao plasma 90 min l citrulina l citrulina malato aumentaram niveis plasmati cos nitrito p = 0 0214 musculo metabolitos alterados edl 90 min l citrulina l citrulina malato aumentaram metabolitos l citrulina malato superior todos outros grupos nitrito p = 0 0146 nitrato p = 0 0004 270 min l citrulina l citrulina malato aumentaram niveis compostos nitrosilados p < 0 0001 expressao gene nos1 p = 0 0001 soleo 90 min apenas aumentou niveis hif 1 p < 0 0001 270 min apenas l citrulina malato nos3 p < 0 05 tanto l citrulina l citru lina malato aumentaram hif1 p < 0 0001 vegf afetado nenhuma suplementacao nenhum momento adicao malato l citrulina potencializou aumento metabolitos expressao nos1 musculo edl soleo ambos suplementos aumentam expressao gene hif 1 porem l citrulina malato aumenta hif 1 rapidamente l citrulina isolada l citrulina malato aumenta expressao gene nos3,5242
1,"mthfr, metilacao, hipertensas, c677t, citrulina",futebol exercicio caracteristica intermitente exige atletas capacidade oscilar niveis intensidade decorrer partida pode modificar concentracoes metabolitos relacionados producao energia depender demandas longo jogo embora descrito homens possuem maior tendencia oxidar lipideos mulheres metaboloma atletas sexo_feminino pre jogos pos jogos campeonatos ainda descrito entender melhor contribuicao vias producao energetica nesse processo poderia auxiliar junto outras variaveis prescricao treinos voltados futebol feminino deste modo trabalho dividido tres sessoes sendo primeira referente revisao narrativa terce discussao sobre alguns aspectos futebol futebol feminino metabolomica vias producao energia consumo_alimentar segunda trata artigo cientifico objetivo identificar principais metabolitos urina atletas futebol feminino presentes jogos campeonatos vias producao energia podem estar associados terceira apresenta artigo cientifico descreve principais associacoes metabolitos urina nutrientes relacionados metabolismo_energetico tanto amostras urina pre pos seis jogos campeonatos nacional estadual coletadas utilizada abordagem metabolomica ressonancia magnetica nuclear ainda consumo_alimentar habitual atletas analisado meio recordatorios_24_horas registros alimentares identificados 43 metabolitos quais destacaram piruvato lactato glicose citrato sucinato taurina tirosina podem ser intermediarios vias metabolismo fenilalanina triptofano tirosina metabolismo taurina hipotaurina ciclo acido tricarboxilico associacoes positivas significativas observadas metabolitos nutrientes relacionados metabolismo_energetico piruvato ptn kcal kg peso lipideos dieteticos vitaminas b2 b3 b6 sucinato vitamina b2 kcal cho kg peso citrato cho quilogramas peso kcal ptn cho kg peso acido malonico,4868
1,"mthfr, metilacao, hipertensas, c677t, citrulina",compreender efeitos dieta folato oleo avela perfil metilacao dna perfil antropometrico lipidico estresse_oxidativo relevante podendo investigacao nesse estagio fornecer subsidios dieteticos importantes desenvolvimento estrategias prevencao dessas doencas ainda fase adulta presente projeto doutorado vinculado projeto maior intitulado ii ciclo diagnostico intervencao situacao alimentar nutricional doencas transmissiveis prevalentes populacao municipio joao pessoa pb ii disandnt pb dois desenhos metodologicos primeiro trata composicao amostra_representativa zona leste oeste individuos adultos municipio joao pessoa partir ii disandnt jp estudo base_populacional corte transversal segundo desenho metodologico desenvolvido subamostra populacao acima mencionada sendo tipo ensaio_clinico intervencional resultados encontrados primeiro desenho metodologico composto 265 individuos adultos referente perfil metilacao observado 50 populacao metilada 21 metilada quanto estado_nutricional 53 populacao encontrava sobrepeso obesidade observado ainda quanto relacoes individuos metilados associacao maiores chances risco sobrepeso obesidade elevado rca segundo desenho metodologico constituido 40 mulheres classificadas sobrepeso obesidade encontrou pos intervencao mulheres apresentaram reducao valores metilacao gene adrb3 mda aumento valores hdl_c cat sendo significativos quanto grupo_intervencao dietetica apresentou melhor resultado grupo 3 maior reducao niveis metilacao gene adrb3 18 conclusao observou alteracoes epigeneticas locus gene adrb3 irao contribuir melhor compreensao desenvolvimento obesidade doencas_cronicas_transmissiveis envolvidas consumo gordura_trans perfil_lipidico acido folico estudo primeiro demosntrar efeito benefico consumo capsula oleo avela modular perfil metilacao referente gene adrb3 reducao cintura rca ldl_c,1963
1,"mthfr, metilacao, hipertensas, c677t, citrulina",nitrato inorganico conhecido molecula indesejada dieta potenciais efeitos nocivos entanto durante ultima decada estudos publicados demonstrado nitrato fisiologicamente reciclado sangue tecidos agir substrato alternativo producao oxido nitrico oxido nitrico vez contribui forma significativa regulacao muitas funcoes corporais tais contratilidade muscular metabolismo_energetico mensageiro intercelular citotoxicidade mediada macrofagos inibicao agregacao plaquetaria pressao_arterial fluxo sanguineo respiracao mitocondrial dessa forma vem crescendo interesse investigar efeitos_suplementacao nitrato obtencao oxido nitrico efeitos sobre exercicio_fisico apesar efeito nitrato sob custo oxigenio exercicio submaximo ser bem conhecido existem controversias quanto denominacao determinacao padronizacao intensidades esforco adicionalmente nenhum estudo investigou potenciais propriedades ergogenicas nitrato exercicio dominio severo encontra intensidade esforco acima consumo maximo oxigenio portanto visando contribuir conhecimento acerca tematica dissertacao apresenta dois artigos 1 revisao_literatura principais efeitos agudos cronicos suplementacao nitrato relacao formacao oxido nitrico desempenho_fisico 2 estudo_experimental desenho contrabalancado randomico duplo cego objetiva investigar efeitos_suplementacao aguda nitrato sobre cinetica vo2 dominios moderado pesado pesado severo,1135
1,"mthfr, metilacao, hipertensas, c677t, citrulina",introducao momento ainda esclarecido associacoes parametros glicemia dieta atividade_fisica gerando opinioes conflitantes pesquisas alem disso constatacao associacoes conjuntas pode ser fortemente influenciada tipo populacao estudo pesquisas relacionando forma conjunta alteracoes curva sobrecarga glicemica massa_corporal nivel atividade_fisica dieta essenciais avanco conhecimento nessa area objetivo analisar curva sobrecarga glicemica massa_corporal padrao_alimentar individuos adultos jovens aparentemente saudaveis diferentes niveis atividade_fisica metodologia analisados 80 individuos aparentemente saudaveis ambos_sexos idade 18 30 anos aplicamos registro_alimentar tres dias obter padrao_alimentar fizemos avaliacao_nutricional fisica aferindo medidas_antropometricas exame bioimpedancia coletado glicemia_jejum logo apos voluntario fez ingesta dextrose apos 30 min glicemia capilar aferida novamente dando sequencia exame curva glicemica tempos 60 90 120 min resultados curva glicemica apresentou correlacao p > 0 05 macronutrientes padrao_alimentar curva glicemica apos sobrecarga dextrose todo grupo obteve diferencas significativas longo tempo mostrando sobrecarga carboidrato eleva glicemia apos 30 min ingestao alem disso ocorreu reducao significativa 60 min valores estabilizaram partir 90 minutos curva glicemica variou funcao sexo pressao_arterial variaveis corporais conclusao curva sobrecarga glicemica individuos jovens aparentemente saudaveis deste estudo correlacionada nivel atividade_fisica composicao_corporal tampouco distribuicao macro micronutrientes ingeridos alteracoes podem ter sido observadas devido participantes dessa pesquisa serem jovens aparentemente saudaveis nivel atividade_fisica influenciou media curva glicemic,4266
1,"mthfr, metilacao, hipertensas, c677t, citrulina",quercetina flavonoide ampla distribuicao alimentos origem vegetal principalmente cebola maca vem sendo relacionada beneficios diversas doencas cancer diabetes_mellitus_tipo_2 obesidade cardiopatias hepatopatias dentre outras recentemente sido estudada quanto efeitos sobre desempenho_fisico resultados controversos mecanismos acao bem elucidados dentro desse contexto investigacao funcoes biologicas compostos_bioativos identificacao vias metabolicas alteradas abordagem metabolomica recebido destaque fazer analise simultanea todos metabolitos presentes amostras objetivo desse estudo investigar efeitos_suplementacao quercetina sobre desempenho_fisico perfil_metabolico ratos_wistar utilizados estudo 2 tipos quercetina analisadas ressonancia magnetica nuclear rmn 30 animais divididos 3 grupos controle c quercetina padrao analitico qpa quercetina grau alimentar qga ratos suplementados 9 dias massa_corporal ingestao_alimentar controladas capacidade fisica avaliada meio teste fisico esteira apos periodo avaliados pesos musculos gordura forca tetanica in vitro area seccao transversa musculo soleo alem disso avaliou perfil_metabolico sangue animais abordagem metabolomica rmn observou perfil quercetinas igual sendo referentes forma aglicona suplementacao ambas quercetinas capaz reduzir significativamente ganho_peso c = 19 78 + 2 17 g qpa = 13 10 + 1 88 g qga = 11 78 + 1 40 g alterar ingestao_alimentar c = 215 9 + 4 3 g qpa = 211 5 + 4 1 g qga = 204 0 + 3 3 g aumentou significativamente peso musculo soleo gastrocnemio compartimentos gordura avaliados aumento capacidade fisica maxima c = 1 41 + 3 04 qpa = 11 46 + 4 94 qga = 30 40 + 8 18 forca tetanica c = 47 03 + 4 46 g qpa = 70 58 + 7 34 g qga = 78 83 + 5 64 g porem mudanca area seccao transversa indicando quercetina pode exercer efeitos vias diferentes vias hipertrofia muscular analises estatisticas multivariadas dados obtidos rmn pca pls demonstraram suplementacoes proporcionaram diferencas perfil_metabolico sanguineo entretanto identificacao vldl lipidio lactato creatina alanina glutamina glicose acetato metabolitos variaram grupos vip scores pode estar indicando tendencia modulacao metabolismo principalmente metabolismo piruvato glicolise gliconeogenese conclui resultados mostraram quercetina promoveu melhoras parametros desempenho_fisico inferindo potencial possivel ferramenta aumento performance,2010
1,"mthfr, metilacao, hipertensas, c677t, citrulina",introducao tendencia secular refere qualquer comportamento ascendente descendente neutro variaveis estudadas determinado grupo populacional longos periodos tempo objetivo estabelecer tendencia secular variaveis antropometricas desempenho_fisico individuos avaliados pratica atividades fisicas regiao cuiaba mt anos 1980 1997 metodo trata estudo retrospectivo transversal descritivo amostra constituiu banco dados universidade federal mato grosso ufmt totalizando 4 960 avaliados ambos generos estabelecidos indicativos tendencia secular variaveis indice_massa_corporal imc kg m2 volume maximo oxigenio litros minuto vo2 max l min 1 compreendendo idades 9 19 9 g1 20  39 9 g2 40 anos g3 resultados tendencia geral toda amostra imc p=0 035 vo2 max l min 1 p=0 023 imc aumentou diminuiu g1 aumentou estabilizou g2 aumentou continuamente g3 vo2 max l min 1 comportamento ondulatorio maiores aumentos meados 1980 1995 1997 conclusao possivelmente individuos bem orientados alimentados longo tempo resultando melhora vo2 max l min 1 aumento imc g3 possivelmente devido massa_magra prevencao deste aumento outros grupos,485
