trigram,n
p_0_05,2248
p_0_001,1303
indice_massa_corporal,839
p_0_01,550
objetivo_deste_estudo,442
massa_corporal_imc,429
trata_estudo_transversal,393
ic_95_1,351
seguranca_alimentar_nutricional,349
doencas_cronicas_transmissiveis,317
alimentos_in_natura,280
ic_95_0,279
25_oh_d,257
in_natura_minimamente,237
pratica_atividade_fisica,232
presente_estudo_objetivo,232
teste_qui_quadrado,232
estudo_objetivo_avaliar,228
natura_minimamente_processados,226
consumo_alimentos_ultraprocessados,219
objetivo_deste_trabalho,217
objetivo_presente_estudo,209
pandemia_covid_19,209
percentual_gordura_corporal,209
proteina_c_reativa,198
questionario_frequencia_alimentar,196
problema_saude_publica,191
estudo_transversal_realizado,189
p_0_0001,189
deste_estudo_avaliar,182
metodos_estudo_transversal,182
nivel_significancia_5,179
teste_t_student,179
p_0_02,174
0_05_resultados,170
educacao_alimentar_nutricional,167
organizacao_mundial_saude,167
p_0_002,163
p_valor_0,162
p_0_003,157
p_0_03,157
ensaio_clinico_randomizado,154
nacional_alimentacao_escolar,151
programa_nacional_alimentacao,151
diabetes_mellitus_tipo,150
metodos_trata_estudo,150
nivel_atividade_fisica,149
objetivo_desse_estudo,148
p_0_04,145
doenca_renal_cronica,139
pressao_arterial_sistolica,138
prevalencia_excesso_peso,137
comite_etica_pesquisa,135
p_0_005,135
durante_gestacao_lactacao,131
compostos_fenolicos_totais,130
regressao_linear_multipla,128
mellitus_tipo_2,127
web_of_science,125
qui_quadrado_pearson,123
p_0_000,122
aprovado_comite_etica,119
acidos_graxos_saturados,116
hipertensao_arterial_sistemica,113
p_0_004,113
circunferencia_cintura_cc,112
anos_ambos_sexos,111
capacidade_antioxidante_total,111
cromatografia_liquida_alta,111
p_0_006,108
promocao_alimentacao_saudavel,107
aleitamento_materno_exclusivo,106
atencao_primaria_saude,104
consumo_alimentar_avaliado,104
sistema_unico_saude,104
nivel_significancia_adotado,102
significancia_p_0,102
deficiencia_vitamina_d,101
p_0_007,100
presente_estudo_avaliar,100
alimentar_populacao_brasileira,99
objetivo_avaliar_efeito,99
avaliacao_estado_nutricional,98
liquida_alta_eficiencia,98
media_desvio_padrao,98
programa_bolsa_familia,97
significativa_p_0,97
5_p_0,96
il_6_il,96
recordatorio_24_horas,96
analise_componentes_principais,95
intervalo_confianca_95,94
deste_trabalho_avaliar,93
excesso_peso_obesidade,93
massa_corporal_idade,93
massa_livre_gordura,93
mg_100_g,92
excesso_gordura_corporal,91
fatores_risco_cardiovascular,91
inseguranca_alimentar_nutricional,91
renda_per_capita,90
avaliacao_consumo_alimentar,89
transversal_base_populacional,89
estudo_avaliar_efeito,88
guia_alimentar_populacao,88
objetivo_avaliar_associacao,88
direito_humano_alimentacao,87
intervalos_confianca_95,87
perfil_acidos_graxos,87
escala_brasileira_inseguranca,84
ganho_peso_gestacional,84
acidos_graxos_cadeia,83
brasileira_inseguranca_alimentar,83
cronicas_transmissiveis_dcnt,83
estudo_transversal_base,83
modelos_regressao_linear,83
densidade_mineral_ossea,82
objetivo_avaliar_efeitos,82
sindrome_metabolica_sm,82
8_p_0,81
alimentacao_escolar_pnae,81
alimentacao_adequada_saudavel,80
avaliacao_subjetiva_global,80
consumo_alimentos_in,80
desse_estudo_avaliar,80
objetivo_estudo_avaliar,80
recordatorios_24_horas,80
consumo_frutas_hortalicas,79
forca_preensao_manual,79
imc_pre_gestacional,79
log_ufc_ml,78
p_0_008,78
universidade_federal_vicosa,78
analises_estatisticas_realizadas,77
c_reativa_pcr,77
coleta_dados_realizada,77
log_ufc_g,77
p_0_009,77
renal_cronica_drc,77
caracteristicas_fisico_quimicas,76
modelos_regressao_logistica,76
durante_pandemia_covid,75
relacao_cintura_estatura,75
colesterol_total_ldl,73
g_100_g,73
habitos_alimentares_saudaveis,73
4_p_0,72
assim_objetivo_deste,72
humano_alimentacao_adequada,72
ratos_wistar_machos,72
graxos_cadeia_curta,71
imc_circunferencia_cintura,71
lipoproteina_baixa_densidade,71
1_p_0,70
antropometricas_composicao_corporal,69
avaliar_estado_nutricional,69
deste_estudo_investigar,69
nivel_significancia_p,69
p_0_012,69
praticas_alimentares_saudaveis,69
realizado_estudo_transversal,69
valor_p_0,69
frutas_legumes_verduras,68
lipoproteina_alta_densidade,68
presente_trabalho_objetivo,68
teste_mann_whitney,68
fatores_risco_cardiometabolico,67
massa_muscular_esqueletica,67
tipo_2_dm2,67
6_p_0,66
estudo_aprovado_comite,66
presente_estudo_objetivou,66
resultados_deste_estudo,66
trabalho_objetivo_avaliar,66
2_p_0,65
controle_p_0,65
estado_rio_janeiro,65
estresse_oxidativo_inflamacao,65
grupos_p_0,65
p_0_017,65
colesterol_total_ct,64
significancia_adotado_5,64
baixo_peso_nascer,63
doencas_cardiovasculares_dcv,63
especies_reativas_oxigenio,63
insatisfacao_imagem_corporal,63
relacao_cintura_quadril,63
unidades_alimentacao_nutricao,63
alimentar_nutricional_san,62
corporal_imc_circunferencia,62
diabetes_tipo_2,62
estado_nutricional_criancas,62
estudo_objetivo_investigar,62
maior_consumo_alimentos,62
objetivo_desse_trabalho,62
divididos_dois_grupos,61
estudo_objetivou_avaliar,61
fator_necrose_tumoral,61
p_0_011,61
unidade_terapia_intensiva,61
unidades_basicas_saude,61
6_il_10,60
9_p_0,60
avaliar_consumo_alimentar,60
composicao_microbiota_intestinal,60
dieta_rica_gordura,60
dl_p_0,60
estrategia_saude_familia,60
frequencia_consumo_alimentar,60
p_0_018,60
perimetro_cintura_pc,60
tecido_adiposo_branco,60
vigilancia_alimentar_nutricional,60
dados_consumo_alimentar,59
escolas_publicas_privadas,59
marcadores_estresse_oxidativo,59
pesquisa_seres_humanos,59
teste_exato_fisher,59
total_p_0,59
3_p_0,58
analise_variancia_anova,58
etica_pesquisa_seres,58
mundial_saude_oms,58
regressao_logistica_multinomial,58
20_59_anos,57
alimentos_processados_ultraprocessados,57
bases_dados_pubmed,57
citocinas_pro_inflamatorias,57
confianca_95_ic95,57
desenvolvimento_doencas_cronicas,57
metodologia_estudo_transversal,57
metodologia_trata_estudo,57
teor_compostos_fenolicos,57
consumo_bebidas_alcoolicas,56
frequencia_alimentar_qfa,56
menores_dois_anos,56
p_0_010,56
p_0_021,56
p_0_028,56
pacientes_doenca_renal,56
pressao_arterial_diastolica,56
sars_cov_2,56
analise_regressao_linear,55
antropometricos_composicao_corporal,55
cintura_estatura_rce,55
inseguranca_alimentar_ia,55
p_0_014,55
p_0_015,55
acoes_alimentacao_nutricao,54
area_sob_curva,54
avaliacao_composicao_corporal,54
c_p_0,54
estudo_objetivo_analisar,54
gordura_corporal_gc,54
grupo_controle_gc,54
inflamacao_estresse_oxidativo,54
preferred_reporting_items,54
regressao_logistica_multipla,54
0_05_grupo,53
avaliar_efeito_consumo,53
ganho_peso_corporal,53
odds_ratio_or,53
p_0_00,53
p_0_026,53
relacao_estado_nutricional,53
trata_ensaio_clinico,53
comparado_grupo_controle,52
consumo_alimentar_criancas,52
doenca_hepatica_gordurosa,52
gordura_corporal_total,52
idade_imc_i,52
indice_qualidade_dieta,52
maior_p_0,52
problemas_saude_publica,52
relacao_grupo_controle,52
revisao_sistematica_literatura,52
sistema_nervoso_central,52
solidos_soluveis_totais,52
vicosa_minas_gerais,52
